embedding	BTO:0000047	BTO:0000089	BTO:0000131	BTO:0000132	BTO:0000140	BTO:0000141	BTO:0000199	BTO:0000232	BTO:0000233	BTO:0000269	BTO:0000342	BTO:0000379	BTO:0000439	BTO:0000562	BTO:0000648	BTO:0000671	BTO:0000706	BTO:0000751	BTO:0000763	BTO:0000775	BTO:0000776	BTO:0000782	BTO:0000784	BTO:0000862	BTO:0000876	BTO:0000887	BTO:0000959	BTO:0000975	BTO:0000980	BTO:0000988	BTO:0000991	BTO:0001129	BTO:0001158	BTO:0001175	BTO:0001253	BTO:0001279	BTO:0001307	BTO:0001355	BTO:0001379	BTO:0001388	BTO:0001418	BTO:0001424	BTO:0001433	BTO:0001487
BIOCONCEPTVEC-CBOW	0.5733333333333334	0.873015873015873	0.5394736842105263	0.9358974358974359	0.7318840579710144	0.6375291375291375	1.0	0.7797101449275362	0.8995433789954338	0.9666666666666667	0.9935064935064934	0.5873015873015873	0.9594594594594594	0.8544776119402985	0.8173515981735161	0.7945205479452055	0.9666666666666667	0.8785211267605634	0.87	0.9265873015873016	0.9223744292237444	0.9633333333333334	0.961038961038961	0.8461538461538461	0.2692307692307693	0.8162162162162163	0.9615384615384616	0.9342105263157895	0.5	0.99	1.0	0.9615384615384616	0.9824561403508772	0.9766666666666667	0.7366666666666667	0.8472222222222223	0.9743589743589743	0.986842105263158	0.974025974025974	0.7948717948717949	0.641025641025641	0.8991228070175438	0.2948717948717948	0.564935064935065
BIOCONCEPTVEC-SKIP-GRAM	0.4666666666666667	0.8283730158730158	0.5877192982456141	0.8974358974358975	0.7478260869565219	0.6445221445221445	1.0	0.7231884057971014	0.815068493150685	0.9866666666666667	0.987012987012987	0.5595238095238094	0.9756756756756757	0.8606965174129353	0.8173515981735159	0.8219178082191781	0.9800000000000001	0.8785211267605634	0.8866666666666667	0.9107142857142856	0.8744292237442922	0.98	0.9545454545454545	0.7948717948717949	0.2435897435897436	0.8054054054054054	0.9743589743589743	0.9385964912280702	0.5	0.98	1.0	0.9615384615384616	0.9912280701754386	0.9866666666666667	0.8666666666666667	0.7103174603174602	0.9487179487179487	0.9736842105263158	0.974025974025974	0.6923076923076923	0.5	0.8859649122807017	0.2564102564102564	0.7792207792207793
BIOCONCEPTVEC-FASTTEXT	0.26	0.810515873015873	0.6754385964912281	0.9230769230769231	0.717391304347826	0.6305361305361306	1.0	0.644927536231884	0.7899543378995434	0.9566666666666667	0.9805194805194805	0.43253968253968256	0.9783783783783784	0.8470149253731343	0.8264840182648403	0.815068493150685	0.96	0.8450704225352113	0.9133333333333334	0.9047619047619048	0.9360730593607305	0.9600000000000001	0.948051948051948	0.9102564102564102	0.2564102564102564	0.8	0.9487179487179487	0.8903508771929826	0.5	0.9866666666666667	1.0	0.9230769230769231	0.9912280701754386	0.9900000000000001	0.87	0.5376984126984127	0.9358974358974359	0.9736842105263158	0.987012987012987	0.7564102564102564	0.3589743589743589	0.855263157894737	0.2692307692307693	0.7987012987012987
GENEPT-MODEL3	0.5066666666666666	0.8402777777777778	0.5833333333333333	0.9230769230769231	0.808695652173913	0.5069930069930071	1.0	0.7	0.8698630136986302	0.7866666666666667	0.9935064935064934	0.5972222222222222	0.9783783783783784	0.759950248756219	0.7442922374429224	0.6826484018264841	0.7966666666666666	0.8591549295774649	0.9033333333333333	0.9543650793650793	0.9018264840182648	0.9266666666666666	0.8701298701298701	0.9358974358974359	0.46153846153846156	0.8324324324324325	0.6153846153846154	0.9122807017543859	0.5	0.9366666666666668	1.0	0.5256410256410257	0.6403508771929824	0.8566666666666667	0.79	0.8591269841269841	0.28205128205128205	0.9473684210526315	0.9545454545454545	0.6153846153846154	0.717948717948718	0.6228070175438596	0.4487179487179487	0.512987012987013
FROGS-ARCHS4	0.44333333333333336	0.8521825396825397	0.8991228070175439	1.0	0.7536231884057971	0.5501165501165501	1.0	0.7463768115942029	0.8584474885844748	0.95	0.6948051948051948	0.5496031746031746	0.9918918918918919	0.8171641791044776	0.771689497716895	0.6301369863013699	0.8833333333333333	0.8397887323943661	0.7466666666666666	0.871031746031746	0.863013698630137	0.99	0.6623376623376623	0.9102564102564102	0.2692307692307693	0.827027027027027	0.5769230769230769	0.7807017543859649	0.5	0.9966666666666667	1.0	1.0	0.7324561403508772	0.9933333333333334	0.7566666666666666	0.7678571428571428	0.6923076923076923	0.6842105263157894	0.6168831168831169	0.2692307692307693	0.4487179487179487	0.48684210526315785	0.2564102564102564	0.6623376623376623
BIOCONCEPTVEC-GLOVE	0.6833333333333333	0.6537698412698413	0.4210526315789473	0.7948717948717949	0.6782608695652174	0.585081585081585	0.9868421052631579	0.6797101449275362	0.6666666666666666	0.82	0.9025974025974025	0.5753968253968254	0.8243243243243243	0.6952736318407959	0.7077625570776257	0.7009132420091324	0.7	0.8890845070422534	0.7433333333333333	0.9543650793650794	0.9543378995433791	0.9666666666666667	0.8896103896103895	0.641025641025641	0.42307692307692313	0.681081081081081	0.8461538461538461	0.9385964912280702	0.5	1.0	0.9533333333333334	0.8333333333333334	0.7412280701754386	0.9433333333333334	0.5766666666666667	0.6388888888888888	0.7051282051282051	0.6798245614035088	0.8961038961038961	0.4871794871794872	0.34615384615384615	0.8728070175438596	0.39743589743589747	0.4675324675324676
MUT2VEC	0.62	0.6726190476190477	0.1885964912280702	0.8076923076923077	0.7811594202898551	0.49184149184149184	0.9210526315789473	0.45797101449275357	0.6118721461187214	0.9866666666666667	0.7142857142857143	0.376984126984127	0.5810810810810811	0.7810945273631841	0.8881278538812786	0.5114155251141552	0.9833333333333334	0.7429577464788732	0.91	0.7896825396825397	0.6894977168949771	0.9333333333333333	0.9155844155844155	0.5	0.42307692307692313	0.772972972972973	1.0	0.7499999999999999	0.5	0.9766666666666667	1.0	0.6923076923076923	0.9605263157894737	0.48999999999999994	0.6266666666666667	0.5615079365079365	0.9615384615384616	0.8245614035087718	0.935064935064935	0.858974358974359	0.3717948717948718	0.7236842105263159	0.4358974358974359	0.7727272727272727
SCGPT-HUMAN	0.6133333333333333	0.8680555555555556	0.7192982456140351	1.0	0.7014492753623187	0.5629370629370629	1.0	0.9217391304347826	0.863013698630137	0.38	0.935064935064935	0.3234126984126984	0.9216216216216216	0.7251243781094526	0.4931506849315069	0.7214611872146119	0.51	0.8221830985915493	0.8666666666666667	0.8293650793650793	0.6666666666666667	1.0	0.6688311688311688	0.8461538461538461	0.8076923076923077	0.9027027027027027	0.7435897435897436	0.9956140350877193	0.5	0.7466666666666667	0.6333333333333333	0.7051282051282051	0.28508771929824556	0.7933333333333332	0.6966666666666667	0.7341269841269841	0.3717948717948718	0.9473684210526316	0.6493506493506495	0.3846153846153846	0.5	0.5350877192982456	0.7948717948717949	0.7402597402597403
GENEPT-ADA	0.6633333333333333	0.697420634920635	0.4912280701754385	0.7948717948717949	0.8826086956521739	0.41608391608391615	0.9736842105263158	0.6637681159420289	0.8013698630136986	0.49	0.974025974025974	0.7440476190476191	0.9	0.7164179104477613	0.4611872146118722	0.7579908675799086	0.31000000000000005	0.7904929577464789	0.81	0.8432539682539683	0.9018264840182649	0.8900000000000001	0.8766233766233765	0.8717948717948718	0.5512820512820513	0.6945945945945946	0.5384615384615384	0.8377192982456141	0.5	0.8333333333333334	0.9500000000000001	0.5	0.631578947368421	0.8266666666666668	0.8066666666666666	0.7499999999999999	0.4871794871794872	0.868421052631579	0.8376623376623377	0.4358974358974359	0.6153846153846154	0.7587719298245614	0.5256410256410257	0.3181818181818182
GF-6L30M	0.6133333333333333	0.7906746031746031	0.6491228070175438	0.8846153846153846	0.7159420289855073	0.5163170163170163	0.9912280701754386	0.6536231884057971	0.6438356164383562	0.24	0.6818181818181819	0.24801587301587302	0.7621621621621621	0.7450248756218906	0.2214611872146119	0.7831050228310502	0.2733333333333333	0.818661971830986	0.6599999999999999	0.9027777777777778	0.8287671232876712	0.9766666666666667	0.4545454545454546	0.7692307692307692	0.5256410256410257	0.7594594594594595	0.8846153846153846	0.8245614035087719	0.5	0.9866666666666667	0.99	0.5256410256410257	0.17543859649122806	0.59	0.7866666666666666	0.5138888888888888	0.2948717948717948	0.41228070175438597	0.8571428571428572	0.7435897435897436	0.9358974358974359	0.7938596491228069	0.47435897435897434	0.8831168831168831
