embedding	BTO:0000047	BTO:0000089	BTO:0000131	BTO:0000132	BTO:0000140	BTO:0000141	BTO:0000199	BTO:0000232	BTO:0000233	BTO:0000269	BTO:0000342	BTO:0000379	BTO:0000439	BTO:0000562	BTO:0000648	BTO:0000671	BTO:0000706	BTO:0000751	BTO:0000763	BTO:0000775	BTO:0000776	BTO:0000782	BTO:0000784	BTO:0000862	BTO:0000876	BTO:0000887	BTO:0000959	BTO:0000975	BTO:0000980	BTO:0000988	BTO:0000991	BTO:0001129	BTO:0001158	BTO:0001175	BTO:0001253	BTO:0001279	BTO:0001307	BTO:0001355	BTO:0001379	BTO:0001388	BTO:0001418	BTO:0001424	BTO:0001433	BTO:0001487
BIOCONCEPTVEC-SKIP-GRAM	0.6266666666666667	0.7976190476190477	0.6447368421052632	0.7948717948717949	0.7652173913043478	0.62004662004662	1.0	0.681159420289855	0.9041095890410958	1.0	0.987012987012987	0.5654761904761906	0.9783783783783784	0.890547263681592	0.8356164383561644	0.8264840182648402	0.9866666666666667	0.852112676056338	0.8766666666666666	0.876984126984127	0.8059360730593608	0.9966666666666667	0.948051948051948	0.9102564102564102	0.3076923076923077	0.8027027027027028	0.9871794871794872	0.9605263157894737	0.9566666666666667	0.99	1.0	1.0	0.9956140350877193	0.9733333333333333	0.8433333333333334	0.8154761904761905	0.8846153846153846	0.9692982456140351	0.9675324675324675	0.6923076923076923	0.46153846153846156	0.8640350877192983	0.3205128205128205	0.7402597402597402
BIOCONCEPTVEC-CBOW	0.6533333333333333	0.8025793650793651	0.6842105263157894	0.7692307692307692	0.7739130434782608	0.6095571095571095	1.0	0.7391304347826088	0.949771689497717	0.9666666666666667	1.0	0.5773809523809524	0.9621621621621622	0.8756218905472637	0.8356164383561644	0.7968036529680366	0.9866666666666667	0.801056338028169	0.8466666666666667	0.8373015873015874	0.7785388127853882	0.97	0.9545454545454546	0.9230769230769231	0.2948717948717948	0.8054054054054055	0.9358974358974359	0.9649122807017544	0.9433333333333334	1.0	1.0	1.0	0.9736842105263158	0.9299999999999999	0.76	0.8650793650793651	0.8974358974358975	0.986842105263158	0.987012987012987	0.8461538461538461	0.5512820512820513	0.8991228070175439	0.3076923076923077	0.5909090909090908
BIOCONCEPTVEC-FASTTEXT	0.39666666666666667	0.7936507936507937	0.7149122807017544	0.9102564102564102	0.7681159420289855	0.585081585081585	1.0	0.653623188405797	0.8584474885844748	0.9766666666666667	0.9805194805194805	0.4503968253968254	0.9675675675675675	0.8333333333333333	0.8287671232876712	0.7990867579908676	0.9800000000000001	0.8362676056338028	0.9033333333333332	0.8492063492063492	0.7831050228310502	0.9933333333333334	0.935064935064935	0.9358974358974359	0.3205128205128205	0.7810810810810812	0.9487179487179487	0.8991228070175439	0.9366666666666666	0.9866666666666667	1.0	0.9487179487179487	0.9912280701754386	0.9766666666666667	0.8133333333333334	0.6904761904761906	0.9615384615384616	0.9780701754385965	0.9805194805194805	0.8076923076923077	0.3846153846153846	0.8508771929824562	0.3205128205128205	0.7337662337662337
FROGS-ARCHS4	0.44333333333333336	0.873015873015873	0.9429824561403508	1.0	0.7739130434782608	0.6083916083916083	0.9956140350877193	0.7246376811594203	0.9018264840182649	0.9366666666666666	0.7532467532467533	0.5138888888888888	0.9945945945945946	0.812189054726368	0.7557077625570777	0.678082191780822	0.8766666666666667	0.8362676056338028	0.79	0.9047619047619047	0.9383561643835616	0.9966666666666667	0.7467532467532467	0.8974358974358975	0.41025641025641024	0.8243243243243245	0.5641025641025641	0.8026315789473684	0.8733333333333334	0.9966666666666667	0.9966666666666667	1.0	0.7543859649122806	1.0	0.7366666666666666	0.8353174603174605	0.641025641025641	0.7763157894736843	0.4740259740259741	0.3076923076923077	0.4487179487179487	0.5657894736842105	0.41025641025641024	0.6298701298701299
SCGPT-HUMAN	0.69	0.8958333333333333	0.8464912280701755	0.9871794871794872	0.8028985507246377	0.6165501165501165	1.0	0.8797101449275362	0.9337899543378996	0.32666666666666666	0.9415584415584415	0.2698412698412698	0.9297297297297298	0.722636815920398	0.4292237442922374	0.7191780821917808	0.3466666666666667	0.9119718309859155	0.87	0.9285714285714286	0.817351598173516	1.0	0.7662337662337663	0.8974358974358975	0.8205128205128205	0.9027027027027028	0.7435897435897436	0.9605263157894738	0.9566666666666667	0.9299999999999999	0.84	0.7692307692307692	0.2807017543859649	0.9466666666666667	0.7066666666666667	0.8253968253968254	0.33333333333333337	0.9385964912280703	0.7207792207792207	0.4358974358974359	0.4871794871794872	0.7675438596491229	0.8205128205128205	0.8636363636363636
GENEPT-MODEL3	0.49999999999999994	0.8740079365079364	0.7982456140350876	0.9743589743589743	0.8420289855072465	0.465034965034965	1.0	0.6898550724637681	0.9018264840182648	0.7	0.987012987012987	0.5277777777777778	0.9945945945945946	0.7412935323383085	0.7876712328767124	0.7191780821917809	0.78	0.7869718309859155	0.8433333333333334	0.8234126984126985	0.8630136986301371	0.8899999999999999	0.8441558441558442	0.9230769230769231	0.5128205128205128	0.8081081081081082	0.5641025641025641	0.8552631578947368	0.7333333333333334	1.0	1.0	0.39743589743589747	0.6491228070175438	0.9333333333333333	0.8366666666666667	0.876984126984127	0.28205128205128205	0.9780701754385965	0.961038961038961	0.47435897435897434	0.6923076923076923	0.6798245614035088	0.4871794871794872	0.4805194805194805
GENEPT-ADA	0.5066666666666667	0.7023809523809524	0.75	0.7564102564102564	0.8579710144927536	0.4172494172494172	0.9473684210526315	0.6347826086956522	0.8333333333333333	0.8833333333333333	0.974025974025974	0.6686507936507937	0.9216216216216216	0.7002487562189055	0.8036529680365297	0.773972602739726	0.7233333333333334	0.698943661971831	0.5266666666666667	0.7043650793650793	0.7876712328767124	0.8166666666666667	0.9025974025974025	0.8205128205128205	0.6153846153846154	0.6432432432432433	0.5256410256410257	0.8201754385964912	0.7866666666666666	0.8566666666666666	0.9733333333333334	0.3076923076923077	0.9078947368421053	0.8533333333333333	0.8400000000000001	0.6865079365079365	0.8076923076923077	0.9342105263157896	0.8896103896103895	0.3717948717948718	0.7948717948717949	0.7850877192982456	0.6025641025641026	0.40909090909090906
BIOCONCEPTVEC-GLOVE	0.5266666666666666	0.6240079365079365	0.27192982456140347	0.3589743589743589	0.6565217391304348	0.5466200466200466	1.0	0.6826086956521739	0.7579908675799086	0.89	0.935064935064935	0.5853174603174602	0.8351351351351352	0.7251243781094527	0.7899543378995435	0.7100456621004566	0.7766666666666666	0.8292253521126761	0.68	0.884920634920635	0.8105022831050228	0.9866666666666667	0.9025974025974025	0.6153846153846154	0.46153846153846156	0.7135135135135136	0.782051282051282	0.9429824561403509	0.84	1.0	1.0	0.8717948717948718	0.8991228070175439	0.9133333333333333	0.6033333333333334	0.6388888888888888	0.8333333333333334	0.8903508771929824	0.948051948051948	0.3846153846153846	0.5128205128205128	0.8771929824561403	0.4871794871794872	0.5324675324675325
MUT2VEC	0.6133333333333333	0.6676587301587302	0.2543859649122807	0.5384615384615384	0.7985507246376812	0.4813519813519813	0.9254385964912281	0.3913043478260869	0.6255707762557077	0.9866666666666667	0.6493506493506493	0.45039682539682546	0.6027027027027028	0.7985074626865671	0.9155251141552512	0.5365296803652968	0.9866666666666667	0.7764084507042254	0.87	0.8353174603174603	0.6438356164383561	0.98	0.961038961038961	0.7692307692307692	0.5	0.7702702702702703	1.0	0.7324561403508772	0.8799999999999999	0.99	1.0	0.6794871794871795	0.956140350877193	0.6833333333333333	0.6233333333333333	0.6865079365079365	0.9615384615384616	0.8991228070175439	0.8831168831168831	0.6923076923076923	0.28205128205128205	0.6973684210526316	0.5384615384615384	0.7467532467532467
NODE2VEC	0.6466666666666667	0.6884920634920635	0.7017543859649122	0.7051282051282051	0.7347826086956523	0.5303030303030303	1.0	0.6217391304347826	0.7351598173515982	0.28666666666666674	0.7402597402597402	0.7559523809523809	0.5594594594594594	0.7189054726368159	0.35388127853881285	0.7488584474885845	0.47333333333333333	0.8028169014084506	0.6233333333333333	0.8234126984126984	0.7557077625570776	0.8866666666666667	0.8246753246753247	0.9615384615384616	0.3846153846153846	0.8405405405405406	0.4871794871794872	0.868421052631579	0.6766666666666666	0.6366666666666666	0.8933333333333333	0.5	0.8070175438596491	0.42333333333333334	0.8300000000000001	0.503968253968254	0.0641025641025641	0.5307017543859649	0.9025974025974026	0.6025641025641026	0.6666666666666667	0.6798245614035088	0.3717948717948718	0.5584415584415584
