embedding	BTO:0000047	BTO:0000089	BTO:0000131	BTO:0000132	BTO:0000140	BTO:0000141	BTO:0000199	BTO:0000232	BTO:0000233	BTO:0000269	BTO:0000342	BTO:0000379	BTO:0000439	BTO:0000562	BTO:0000648	BTO:0000671	BTO:0000706	BTO:0000751	BTO:0000763	BTO:0000775	BTO:0000776	BTO:0000782	BTO:0000784	BTO:0000862	BTO:0000876	BTO:0000887	BTO:0000959	BTO:0000975	BTO:0000980	BTO:0000988	BTO:0000991	BTO:0001129	BTO:0001158	BTO:0001175	BTO:0001253	BTO:0001279	BTO:0001307	BTO:0001355	BTO:0001379	BTO:0001388	BTO:0001418	BTO:0001424	BTO:0001433	BTO:0001487
BIOCONCEPTVEC-CBOW	0.6266666666666667	0.8273809523809524	0.6403508771929824	0.9102564102564102	0.7666666666666666	0.6107226107226107	1.0	0.7913043478260869	0.9543378995433791	0.9666666666666667	0.987012987012987	0.5793650793650794	0.9864864864864864	0.8955223880597014	0.8287671232876712	0.815068493150685	0.9666666666666667	0.8274647887323943	0.9166666666666667	0.8849206349206349	0.8378995433789954	0.9766666666666667	0.948051948051948	0.9230769230769231	0.2948717948717948	0.8081081081081082	0.9487179487179487	0.9780701754385965	0.9433333333333334	1.0	1.0	1.0	0.9824561403508772	0.9733333333333334	0.8066666666666666	0.9087301587301587	0.8974358974358975	0.9824561403508772	1.0	0.8461538461538461	0.5384615384615384	0.8859649122807017	0.3076923076923077	0.7012987012987013
BIOCONCEPTVEC-SKIP-GRAM	0.6066666666666667	0.8323412698412699	0.6403508771929824	0.8461538461538461	0.7637681159420291	0.5955710955710956	1.0	0.7420289855072464	0.9155251141552511	0.9966666666666667	0.9805194805194805	0.5634920634920635	0.9891891891891893	0.9266169154228856	0.8287671232876712	0.8744292237442922	0.9733333333333334	0.8644366197183099	0.96	0.9107142857142857	0.819634703196347	0.99	0.9155844155844155	0.9102564102564102	0.3076923076923077	0.8054054054054054	0.9615384615384616	1.0	0.95	1.0	1.0	1.0	0.9824561403508772	0.9866666666666667	0.9033333333333333	0.8492063492063492	0.8846153846153846	0.956140350877193	1.0	0.7051282051282051	0.4871794871794872	0.8640350877192982	0.3205128205128205	0.8051948051948052
BIOCONCEPTVEC-FASTTEXT	0.3833333333333333	0.8214285714285714	0.7149122807017543	0.858974358974359	0.7695652173913043	0.5815850815850816	1.0	0.6942028985507246	0.8789954337899543	0.9766666666666667	1.0	0.44642857142857145	0.9837837837837837	0.8768656716417911	0.8287671232876712	0.8744292237442923	0.9766666666666667	0.8415492957746479	0.94	0.873015873015873	0.8082191780821917	0.9866666666666666	0.9025974025974026	0.9358974358974359	0.3205128205128205	0.8027027027027028	0.9358974358974359	0.9166666666666667	0.9533333333333333	0.9966666666666667	1.0	0.9871794871794872	0.9824561403508771	1.0	0.89	0.7083333333333334	0.9615384615384616	0.9868421052631579	0.9935064935064934	0.8076923076923077	0.3846153846153846	0.8333333333333333	0.3205128205128205	0.7987012987012987
MUT2VEC	0.5866666666666667	0.7638888888888888	0.3464912280701754	0.8333333333333334	0.7942028985507247	0.4941724941724942	0.9824561403508772	0.7086956521739131	0.7397260273972603	0.9733333333333333	1.0	0.4503968253968254	0.8945945945945946	0.8694029850746268	0.8904109589041096	0.7876712328767124	0.96	0.7940140845070423	0.9633333333333333	0.8412698412698413	0.6940639269406392	0.9800000000000001	0.9545454545454545	0.7692307692307692	0.4871794871794872	0.8513513513513513	0.9743589743589743	0.75	0.9433333333333334	1.0	1.0	0.7051282051282051	0.9649122807017544	0.9366666666666668	0.8666666666666667	0.6825396825396826	0.9487179487179487	0.9166666666666666	0.974025974025974	0.7307692307692308	0.2948717948717948	0.6754385964912282	0.4871794871794872	0.8571428571428572
GENEPT-MODEL3	0.4766666666666667	0.882936507936508	0.7543859649122807	0.9871794871794872	0.844927536231884	0.4592074592074592	1.0	0.7478260869565218	0.9429223744292238	0.6599999999999999	0.987012987012987	0.5178571428571428	1.0	0.8072139303482587	0.7762557077625571	0.7876712328767124	0.7833333333333334	0.7975352112676057	0.9266666666666666	0.8551587301587301	0.8904109589041096	0.8933333333333333	0.8311688311688311	0.9230769230769231	0.5	0.8108108108108109	0.5769230769230769	0.9166666666666666	0.7233333333333334	1.0	1.0	0.858974358974359	0.6140350877192983	0.9866666666666667	0.8799999999999999	0.8690476190476191	0.2692307692307693	0.9692982456140351	0.9805194805194805	0.5128205128205128	0.6923076923076923	0.6754385964912281	0.4871794871794872	0.7467532467532468
BIOCONCEPTVEC-GLOVE	0.5166666666666667	0.7301587301587301	0.368421052631579	0.6538461538461539	0.6652173913043479	0.541958041958042	0.9912280701754386	0.7898550724637681	0.8424657534246576	0.89	0.987012987012987	0.5853174603174603	0.9621621621621621	0.8196517412935324	0.7808219178082193	0.8105022831050228	0.7666666666666666	0.8257042253521126	0.8766666666666667	0.8948412698412698	0.860730593607306	0.9866666666666667	0.8896103896103895	0.6282051282051282	0.42307692307692313	0.7918918918918919	0.782051282051282	0.9561403508771931	0.8566666666666667	1.0	1.0	0.9871794871794872	0.9210526315789473	0.97	0.7466666666666666	0.7222222222222222	0.8205128205128205	0.8771929824561404	0.9935064935064934	0.3846153846153846	0.5256410256410257	0.8596491228070176	0.46153846153846156	0.7987012987012987
FROGS-ARCHS4	0.38	0.8819444444444444	0.8947368421052632	0.9871794871794872	0.7666666666666666	0.5675990675990676	1.0	0.763768115942029	0.8926940639269407	0.9233333333333333	0.961038961038961	0.4980158730158729	1.0	0.835820895522388	0.771689497716895	0.7762557077625571	0.8333333333333334	0.8785211267605635	0.7766666666666666	0.9503968253968254	0.9429223744292237	0.9900000000000001	0.7337662337662337	0.8846153846153846	0.3589743589743589	0.8243243243243243	0.5512820512820513	0.9166666666666666	0.86	1.0	1.0	1.0	0.7631578947368421	1.0	0.79	0.8154761904761905	0.6025641025641026	0.8070175438596492	0.9805194805194805	0.2948717948717948	0.4487179487179487	0.5438596491228069	0.3589743589743589	0.7012987012987013
GENEPT-ADA	0.4966666666666667	0.808531746031746	0.7149122807017544	0.8205128205128205	0.8652173913043477	0.3962703962703963	0.9824561403508772	0.7304347826086958	0.8698630136986302	0.88	0.974025974025974	0.6468253968253969	0.9675675675675675	0.7798507462686567	0.7716894977168951	0.8242009132420092	0.7033333333333334	0.7746478873239436	0.7766666666666666	0.7638888888888888	0.865296803652968	0.83	0.8961038961038962	0.8205128205128205	0.6153846153846154	0.7297297297297297	0.5256410256410257	0.8771929824561403	0.7799999999999999	0.9866666666666667	0.9966666666666667	0.6538461538461539	0.8991228070175439	0.97	0.8733333333333334	0.75	0.8076923076923077	0.9385964912280703	0.974025974025974	0.3717948717948718	0.7564102564102564	0.7763157894736842	0.5897435897435898	0.6363636363636364
SCGPT-HUMAN	0.6133333333333333	0.9097222222222222	0.7763157894736842	0.9871794871794872	0.8159420289855073	0.5815850815850816	0.9956140350877193	0.9072463768115941	0.9337899543378996	0.2833333333333334	0.974025974025974	0.26587301587301587	1.0	0.7674129353233831	0.502283105022831	0.8036529680365296	0.3633333333333333	0.9330985915492958	0.8366666666666667	0.9424603174603174	0.8904109589041096	1.0	0.7467532467532467	0.8717948717948718	0.7435897435897436	0.8945945945945946	0.717948717948718	0.9692982456140351	0.9400000000000001	0.9966666666666667	0.9433333333333334	1.0	0.2763157894736842	0.9966666666666667	0.8099999999999999	0.7956349206349207	0.3076923076923077	0.9385964912280703	1.0	0.4487179487179487	0.4871794871794872	0.7280701754385965	0.7564102564102564	0.9935064935064934
PPI-RAW	0.51	0.8462301587301587	0.7456140350877193	0.8974358974358975	0.7608695652173912	0.5326340326340326	1.0	0.7811594202898551	0.8949771689497716	0.24000000000000002	0.9935064935064934	0.6607142857142857	0.9108108108108108	0.7151741293532339	0.4429223744292237	0.8744292237442922	0.3333333333333333	0.8538732394366197	0.9066666666666667	0.7876984126984127	0.7328767123287672	0.8966666666666667	0.8766233766233765	0.9487179487179487	0.34615384615384615	0.891891891891892	0.5897435897435898	0.9824561403508772	0.8033333333333332	0.9933333333333334	0.9099999999999999	0.9871794871794872	0.8640350877192983	0.9199999999999999	0.7866666666666666	0.75	0.1282051282051282	0.9473684210526316	1.0	0.47435897435897434	0.33333333333333337	0.7412280701754386	0.3589743589743589	0.8246753246753247
