	GO:0000122_GO:0000122	GO:0006974_GO:0006974	GO:0007186_GO:0007186	GO:0007189_GO:0007189	GO:0010628_GO:0010628	GO:0030335_GO:0030335	GO:0034599_GO:0034599	GO:0035556_GO:0035556	GO:0043065_GO:0043065	GO:0043066_GO:0043066	GO:0043123_GO:0043123	GO:0043124_GO:0043124	GO:0043410_GO:0043410	GO:0045087_GO:0045087	GO:0045893_GO:0045893	GO:0045944_GO:0045944	GO:0051604_GO:0051604	GO:0051897_GO:0051897	GO:0097190_GO:0097190
PPI-RAW	3	14	4	1	19	10	2	17	14	5	3	2	4	13	10	7	2	1	1
NODE2VEC	5	8	3	1	19	12	16	17	8	11	2	4	5	7	8	2	2	1	1
BIOCONCEPTVEC-SKIP-GRAM	1	13	7	1	9	17	8	18	5	16	2	2	7	5	11	3	2	1	5
BIOCONCEPTVEC-FASTTEXT	1	9	3	3	11	12	16	17	8	17	1	1	6	7	11	3	2	1	5
SCGPT-PANCANCER	1	6	3	1	19	16	1	17	6	5	7	9	7	2	9	7	6	9	6
GENEPT-MODEL3	12	8	2	1	6	15	3	14	13	14	1	2	7	7	13	9	5	4	5
GENE2VEC	5	11	1	15	14	4	2	5	5	8	5	16	14	3	12	8	6	3	5
ESM2	4	4	12	5	11	9	2	10	9	14	9	10	7	4	3	1	11	11	6
ESMB1	10	3	15	8	15	9	1	4	17	12	4	4	5	2	6	2	11	12	3
BIOCONCEPTVEC-CBOW	6	8	4	1	11	18	7	12	11	16	3	1	16	2	11	5	2	1	8
SEQVEC	8	3	16	1	19	16	1	11	7	13	3	1	6	7	8	5	7	8	5
T5	7	4	9	1	15	18	2	13	17	13	10	1	1	5	7	1	5	13	5
SCGPT-HUMAN	17	3	6	4	13	7	5	16	5	2	1	10	3	2	18	14	1	3	18
MASHUP	8	1	2	1	13	15	9	8	17	19	2	19	5	2	5	4	4	5	9
BERT-BFD	8	15	12	5	17	17	1	6	8	8	2	1	5	9	7	4	2	16	6
PFAM	9	2	4	3	19	13	8	16	8	17	9	3	2	9	14	9	4	6	2
GF-6L30M	9	1	4	3	19	12	3	5	2	12	5	11	17	7	16	7	8	10	7
GENEPT-ADA	11	4	3	1	15	12	5	15	18	13	6	7	8	1	14	9	9	5	2
FROGS-ARCHS4	3	10	6	2	12	17	16	12	10	7	4	1	15	7	16	4	8	7	1
LEARNED-VEC	4	11	12	1	16	19	5	13	13	6	3	5	14	4	7	2	2	16	6
TCGA-EMBEDDING	3	10	1	1	17	6	9	19	15	4	2	5	6	3	6	3	19	14	16
BIOCONCEPTVEC-GLOVE	14	7	6	1	4	12	10	19	10	17	1	5	7	6	14	10	9	1	8
KSEP	5	1	11	7	16	14	1	12	7	9	5	2	7	6	9	9	18	6	16
MUT2VEC	11	7	3	4	9	17	15	7	10	12	1	3	18	2	19	17	2	1	6
AAC	8	4	13	3	13	11	3	1	5	12	4	2	7	14	14	7	17	13	13
XLNET	18	9	10	2	18	12	2	12	6	12	8	1	11	6	13	5	10	10	1
APAAC	11	4	12	3	11	11	3	1	5	13	4	2	8	13	14	8	17	13	13
GF-12L30M	8	1	13	15	8	12	6	8	16	16	10	3	14	1	6	5	3	8	14
GF-12L95M	8	1	10	12	17	14	8	5	12	9	3	11	16	4	6	4	2	10	15
CPC-PROT	12	7	14	5	15	14	1	2	4	6	4	2	6	10	15	7	16	15	15
BLAST	17	1	5	2	15	4	1	18	14	16	5	5	9	15	18	16	2	10	2
GF-12L95MCANCER	7	1	7	14	11	16	6	8	12	12	13	10	19	2	10	7	3	4	15
GF-20L95M	15	1	2	2	8	19	8	9	13	14	1	14	15	4	14	7	17	6	11
BERT-PFAM	9	5	6	1	19	17	2	16	18	16	11	2	7	14	7	5	8	10	9
PROTVEC	12	2	15	4	16	14	2	2	10	10	3	2	5	16	15	11	15	12	16
ALBERT	10	7	10	3	17	13	2	12	19	19	6	2	12	3	15	11	7	15	2
HMMER	15	1	5	1	18	13	8	17	11	15	7	1	12	8	18	17	4	12	2
UNIREP	12	3	9	1	16	18	16	13	10	12	7	3	11	18	11	4	14	8	2
