	hsa04215_GO:0006915	hsa04660_GO:0050852	hsa00620_GO:0006090	hsa04923_GO:0016042	hsa04710_GO:0007623	hsa04662_GO:0050853	hsa04666_GO:0006909	hsa04350_GO:0007179	hsa00561_GO:0046486	hsa00564_GO:0006650	hsa00140_GO:0034754	hsa04114_GO:0051321	hsa04913_GO:0050810	hsa04120_GO:0016567	hsa04310_GO:0016055	hsa04140_GO:0006914	hsa03410_GO:0006284	hsa04068_GO:0009267	hsa04668_GO:0033209	hsa03013_GO:0050658	hsa04810_GO:0030036	hsa04136_GO:0006914	hsa00512_GO:0006493	hsa00513_GO:0006487	hsa00510_GO:0006487	hsa04152_GO:2000479	hsa00514_GO:0006493	hsa04141_GO:0034976	hsa04141_GO:0030433	hsa00071_GO:0009062	hsa04024_GO:0019933	hsa04370_GO:0048010	hsa04915_GO:0030520	hsa04020_GO:0019722	hsa04979_GO:0008203	hsa03018_GO:0006401	hsa04015_GO:0007264	hsa04977_GO:0051180	hsa04010_GO:0000165	hsa00061_GO:0006633	hsa04260_GO:0060048	hsa00230_GO:0042278	hsa00230_GO:0006163	hsa03440_GO:0000724	hsa04670_GO:0050900	hsa00600_GO:0006665	hsa04144_GO:0006897	hsa04210_GO:0006915	hsa04218_GO:0090398	hsa03420_GO:0006289	hsa03450_GO:0006303	hsa04742_GO:0050909	hsa00630_GO:0043648	hsa00920_GO:0006790
GENEPT-MODEL3	1	1	1	12	1	1	3	1	2	1	1	2	1	1	1	4	7	5	1	1	2	1	4	1	2	1	1	1	1	1	28	3	1	2	2	1	2	1	3	2	1	1	1	2	2	1	1	2	3	1	1	1	1	12
GENEPT-ADA	1	1	1	14	1	3	5	3	2	1	1	2	1	1	1	5	7	4	1	1	2	2	4	1	4	1	1	1	1	1	25	4	1	1	2	1	3	1	6	2	1	1	1	1	2	5	1	2	10	2	2	1	3	14
BIOCONCEPTVEC-CBOW	2	4	1	14	3	2	1	2	1	2	1	4	3	1	2	2	9	3	4	1	3	1	4	1	2	1	1	4	1	1	25	2	1	1	1	1	8	1	13	3	1	1	6	2	3	1	1	4	6	3	3	2	1	8
BIOCONCEPTVEC-SKIP-GRAM	8	4	1	13	5	5	9	8	1	2	1	3	10	1	2	2	7	2	3	1	3	1	4	1	2	1	1	5	1	1	24	4	1	4	1	2	8	1	12	4	1	1	11	1	7	1	1	5	8	3	3	2	1	3
NODE2VEC	1	3	2	17	3	2	5	1	1	2	1	8	3	1	8	2	8	13	3	2	1	1	2	3	1	1	1	1	1	1	21	2	1	2	17	1	1	3	15	7	2	1	4	1	5	3	10	6	6	1	2	5	1	7
BIOCONCEPTVEC-FASTTEXT	7	10	1	13	12	5	12	9	1	6	1	2	10	1	5	1	9	2	3	1	3	2	4	1	3	1	1	7	1	1	27	3	1	4	1	1	3	1	13	8	1	1	14	2	7	1	1	4	13	3	3	1	1	2
BIOCONCEPTVEC-GLOVE	2	22	1	18	4	4	10	8	1	1	1	9	3	1	5	2	15	4	8	1	10	1	2	1	2	1	1	7	1	2	22	6	1	1	1	2	2	1	15	13	1	1	11	1	6	8	5	3	5	4	3	9	1	13
PPI-RAW	1	4	1	31	17	2	4	3	4	3	1	7	9	2	1	2	25	11	10	1	1	1	2	1	2	1	1	1	1	1	8	1	1	2	13	1	1	13	17	1	1	1	5	1	9	5	8	6	7	1	5	36	1	6
SCGPT-HUMAN	2	1	1	25	29	1	1	1	7	8	1	2	4	5	4	4	13	22	39	2	4	1	5	1	2	1	6	3	1	2	7	1	1	8	3	3	11	3	1	1	1	1	22	2	1	2	10	4	3	1	6	8	1	8
T5	5	5	1	20	1	2	9	6	2	1	1	32	3	1	3	1	4	8	3	16	1	8	2	1	3	1	1	5	1	1	28	11	1	2	6	4	1	1	19	8	36	1	3	1	14	4	4	10	32	11	5	6	1	2
MUT2VEC	3	24	1	13	4	5	9	7	1	3	1	7	3	4	2	3	28	4	3	1	7	2	4	2	1	1	1	9	1	2	9	24	1	6	2	2	18	1	19	12	1	1	11	4	2	2	18	6	15	4	4	39	3	12
PFAM	1	1	3	24	1	2	5	21	3	17	1	35	2	1	13	14	5	12	11	1	1	10	3	3	4	1	1	2	1	1	10	2	1	1	2	1	2	1	5	11	25	1	15	2	3	6	10	2	43	11	15	1	3	3
SCGPT-PANCANCER	17	1	1	24	21	1	1	4	18	8	1	2	7	4	10	19	13	36	43	2	9	3	10	2	1	1	3	4	1	2	11	7	1	1	1	2	18	3	21	1	4	1	8	1	2	1	11	6	5	3	5	1	6	14
SEQVEC	7	5	1	23	10	7	6	9	8	4	1	22	5	1	9	6	31	12	1	7	1	3	3	2	3	1	1	6	1	1	30	3	1	1	7	3	6	1	24	28	22	1	3	1	5	2	1	15	22	7	5	14	1	13
ESMB1	6	7	1	26	7	16	7	11	7	1	1	40	1	1	1	2	27	6	1	5	1	3	4	2	4	1	1	2	1	1	25	8	1	1	6	1	8	1	29	7	33	1	4	1	22	5	1	9	51	4	2	2	2	9
UNIREP	5	4	2	42	8	9	6	1	16	7	1	33	8	1	1	10	26	10	6	5	8	4	3	2	3	1	1	5	1	1	6	9	1	2	6	5	17	1	6	52	19	1	3	1	8	4	1	10	24	9	7	13	1	9
MASHUP	3	9	4	27	27	5	14	4	4	14	1	44	12	1	6	15	8	19	8	5	17	6	2	1	2	1	1	2	1	5	28	31	1	4	1	3	6	1	6	26	4	1	26	1	5	5	6	9	13	5	2	3	2	2
HMMER	1	1	3	22	1	2	10	13	18	29	1	19	4	1	15	23	2	5	4	2	1	17	19	3	4	1	6	9	1	1	8	3	1	2	2	7	1	1	2	4	29	1	27	3	3	7	15	4	46	15	29	14	5	1
BLAST	14	2	1	27	4	7	9	20	22	6	1	30	1	1	17	14	2	3	14	9	1	19	1	1	2	1	3	17	1	1	6	1	1	1	2	2	3	1	13	5	27	1	28	1	8	6	13	12	43	6	30	1	6	1
LEARNED-VEC	2	22	1	17	10	2	12	3	12	5	1	30	18	10	1	15	12	22	3	1	3	7	9	4	1	1	2	13	1	2	23	8	1	2	7	10	10	2	17	21	13	1	17	1	19	2	3	18	20	18	2	14	6	1
GENE2VEC	3	1	1	15	38	1	2	4	1	7	1	3	22	5	1	11	24	23	18	1	13	4	10	10	18	1	6	2	1	1	40	9	1	17	16	9	27	1	18	30	1	1	21	5	1	1	15	12	9	3	7	1	3	9
BERT-BFD	8	15	1	19	5	4	2	23	3	3	1	3	30	2	1	6	27	14	15	16	5	10	5	5	6	1	1	6	1	1	21	9	1	10	17	10	8	1	32	18	36	1	2	1	6	5	2	14	27	17	2	15	3	10
FROGS-ARCHS4	6	1	4	19	36	1	8	4	9	7	1	12	18	16	4	7	4	24	3	1	3	4	4	8	3	1	1	34	1	4	24	4	1	28	3	10	2	3	13	16	1	1	18	12	2	33	30	21	3	2	11	14	5	7
BERT-PFAM	8	7	2	24	4	9	8	4	14	1	1	38	1	1	24	19	20	10	2	20	1	3	2	2	3	1	1	39	1	2	34	7	1	4	11	4	5	1	15	17	24	1	1	1	22	3	9	20	37	11	6	12	2	17
ALBERT	1	14	1	21	34	11	16	38	7	8	1	39	3	3	4	4	27	21	16	10	1	7	6	3	5	1	2	9	1	1	4	9	1	18	9	4	9	2	27	6	33	1	6	1	2	2	19	5	45	4	2	6	3	24
ESM2	12	14	1	25	40	14	30	8	4	1	1	9	1	1	12	3	29	7	2	27	2	4	2	4	8	1	1	3	1	1	31	26	1	5	11	1	3	1	40	17	22	1	1	1	19	4	1	9	47	50	22	19	2	4
TCGA-EMBEDDING	9	6	7	31	6	1	8	37	19	43	1	6	19	15	45	3	26	21	23	4	2	8	21	18	13	1	29	1	1	4	30	13	1	15	4	7	32	13	11	16	2	1	31	20	2	12	5	6	9	13	19	1	3	3
GF-20L95M	17	7	11	10	30	3	41	14	3	1	1	18	4	13	19	3	7	5	25	34	20	14	9	20	2	1	3	43	1	9	18	13	1	2	15	11	14	4	11	35	3	1	4	4	26	7	37	42	48	9	5	2	2	10
KSEP	17	38	3	22	31	25	8	14	6	7	1	18	11	1	36	7	44	35	19	40	1	5	4	6	7	1	1	4	1	1	46	8	1	2	18	6	3	4	17	15	51	1	1	3	10	10	1	11	14	19	10	11	1	42
PROTVEC	31	10	2	11	26	15	8	27	6	7	1	5	3	16	21	12	45	18	11	19	1	6	8	12	13	1	1	17	1	2	48	8	1	5	10	22	13	10	22	16	50	1	3	7	28	8	13	15	14	20	5	18	4	47
CPC-PROT	42	20	2	15	6	16	8	27	14	9	1	9	2	14	24	15	41	20	15	23	2	9	6	8	13	1	2	24	1	2	47	6	1	10	13	17	9	6	38	14	50	1	1	5	35	7	1	21	6	19	13	29	6	36
GF-6L30M	27	4	22	30	9	1	30	14	18	5	1	15	8	8	11	28	22	25	18	38	25	13	5	6	23	1	2	40	1	7	26	10	1	1	21	20	36	2	30	8	9	1	6	4	29	1	28	38	33	9	3	2	3	20
AAC	33	17	2	12	29	8	12	33	5	5	1	7	2	5	25	15	43	20	24	29	2	6	9	9	8	1	2	28	1	2	41	14	1	16	21	22	13	8	35	11	47	1	2	4	46	8	5	11	20	28	10	27	5	48
APAAC	33	18	1	11	30	10	13	33	4	5	1	7	3	5	26	15	43	20	24	31	1	7	9	9	8	1	3	28	1	2	41	10	1	17	20	22	13	8	35	11	47	1	2	4	48	8	8	11	20	27	16	25	4	48
XLNET	4	34	4	28	34	26	29	6	6	4	1	50	12	9	38	9	23	25	4	24	2	18	9	6	5	1	5	22	1	3	13	35	1	52	5	26	33	6	36	18	26	1	2	3	48	6	49	32	44	12	10	37	4	26
GF-12L95M	20	36	13	36	19	38	41	12	9	12	1	30	26	11	36	8	32	23	33	35	39	10	6	14	5	1	3	40	1	9	24	23	1	10	29	25	42	8	28	20	35	1	10	1	50	17	40	40	41	4	9	15	15	36
GF-12L95MCANCER	25	34	19	34	18	41	42	22	11	9	1	29	31	16	31	14	31	20	40	34	41	7	8	9	5	1	4	45	1	8	31	22	1	6	32	28	39	12	35	21	30	1	4	3	50	17	39	43	42	4	10	14	17	37
GF-12L30M	25	32	42	45	9	30	20	21	18	15	1	28	40	17	20	7	39	9	29	31	37	12	16	9	6	1	4	35	1	15	39	15	1	28	45	31	37	27	49	26	38	1	16	6	47	17	9	41	31	12	15	34	13	37
