	hsa04215_GO:0006915	hsa04660_GO:0050852	hsa00620_GO:0006090	hsa04923_GO:0016042	hsa04710_GO:0007623	hsa04662_GO:0050853	hsa04666_GO:0006909	hsa04350_GO:0007179	hsa00561_GO:0046486	hsa00564_GO:0006650	hsa00140_GO:0034754	hsa04114_GO:0051321	hsa04913_GO:0050810	hsa04120_GO:0016567	hsa04310_GO:0016055	hsa04140_GO:0006914	hsa03410_GO:0006284	hsa04068_GO:0009267	hsa04668_GO:0033209	hsa03013_GO:0050658	hsa04810_GO:0030036	hsa04136_GO:0006914	hsa00512_GO:0006493	hsa00513_GO:0006487	hsa00510_GO:0006487	hsa04152_GO:2000479	hsa00514_GO:0006493	hsa04141_GO:0034976	hsa04141_GO:0030433	hsa00071_GO:0009062	hsa04024_GO:0019933	hsa04370_GO:0048010	hsa04915_GO:0030520	hsa04020_GO:0019722	hsa04979_GO:0008203	hsa03018_GO:0006401	hsa04015_GO:0007264	hsa04977_GO:0051180	hsa04010_GO:0000165	hsa00061_GO:0006633	hsa04260_GO:0060048	hsa00230_GO:0042278	hsa00230_GO:0006163	hsa03440_GO:0000724	hsa04670_GO:0050900	hsa00600_GO:0006665	hsa04144_GO:0006897	hsa04210_GO:0006915	hsa04218_GO:0090398	hsa03420_GO:0006289	hsa03450_GO:0006303	hsa04742_GO:0050909	hsa00630_GO:0043648	hsa00920_GO:0006790
GENEPT-MODEL3	1	1	1	12	1	2	3	1	3	1	1	4	1	1	1	3	1	4	2	1	3	1	3	1	2	1	1	1	1	1	2	3	5	1	2	1	1	1	4	3	3	12	1	2	2	1	1	2	1	2	1	1	1	2
GENEPT-ADA	1	1	1	15	1	5	5	1	1	1	1	1	1	1	1	5	1	7	3	1	3	1	2	1	4	1	1	1	1	1	3	3	6	1	2	1	4	1	7	3	2	10	2	2	2	3	1	2	5	3	3	1	1	4
BIOCONCEPTVEC-CBOW	4	2	1	13	2	2	3	2	1	2	1	6	3	1	2	2	4	3	3	1	3	1	4	1	3	1	1	2	1	1	4	2	20	1	1	1	3	1	10	2	1	13	5	3	3	1	1	2	2	4	4	1	1	2
NODE2VEC	1	2	2	13	3	3	7	1	1	2	1	7	4	1	6	3	2	9	2	2	1	1	2	2	1	1	1	1	1	1	2	2	2	2	16	1	1	2	14	5	3	8	9	1	6	2	12	3	4	1	1	4	1	1
BIOCONCEPTVEC-SKIP-GRAM	6	4	1	11	4	5	9	6	1	2	1	5	9	1	5	1	4	2	3	1	2	2	4	1	2	1	1	4	1	1	11	3	18	6	1	1	6	1	13	5	1	10	10	1	7	1	1	4	6	4	3	1	1	3
BIOCONCEPTVEC-FASTTEXT	7	3	1	8	12	7	13	6	1	5	1	2	10	1	5	1	4	2	2	1	2	2	4	1	3	1	1	7	1	1	12	3	12	5	1	1	3	1	13	11	1	5	19	2	5	1	1	5	7	4	3	1	1	2
BIOCONCEPTVEC-GLOVE	2	18	1	14	2	10	10	8	1	2	1	6	4	1	3	2	3	2	4	1	5	1	2	1	4	1	1	5	1	2	1	2	16	3	1	1	1	1	15	6	2	23	8	2	4	8	2	3	3	4	2	9	1	4
PPI-RAW	1	3	1	23	11	5	6	1	2	4	1	13	7	1	1	3	4	9	9	1	1	1	2	2	3	1	1	1	1	1	4	1	10	2	11	1	1	3	15	1	1	6	10	2	6	3	14	5	5	1	1	14	1	10
PFAM	1	1	3	15	1	1	2	9	1	18	1	33	3	1	6	1	3	7	9	1	2	4	2	3	4	1	1	2	1	1	1	3	8	2	2	1	2	1	3	11	27	1	23	2	4	5	13	2	8	6	10	1	4	4
T5	2	4	1	15	1	2	6	2	2	1	1	25	9	1	1	1	3	7	4	1	1	3	3	1	2	1	1	2	1	1	6	13	20	2	7	1	1	1	11	10	46	13	3	1	11	3	4	4	16	6	4	5	1	3
SCGPT-HUMAN	2	1	1	27	4	1	1	3	14	10	1	5	4	1	4	9	3	27	24	3	4	1	4	2	1	1	6	2	1	3	2	3	1	12	4	1	12	3	2	1	1	13	20	1	1	5	13	4	8	4	6	6	1	5
SCGPT-PANCANCER	5	2	2	22	6	1	1	3	25	10	1	2	5	1	9	10	2	42	12	3	5	1	3	1	2	1	1	3	1	2	13	3	10	1	1	2	9	2	12	1	10	6	9	1	3	2	14	2	14	3	4	1	3	14
MUT2VEC	2	17	1	9	8	5	13	9	1	5	1	6	2	4	2	3	3	2	4	1	9	1	5	2	1	1	1	10	1	2	22	22	7	11	2	1	18	1	14	12	1	21	7	4	2	1	9	5	17	4	4	4	3	6
HMMER	1	1	3	18	1	1	5	9	11	31	1	13	7	1	8	1	3	5	5	1	2	7	2	3	4	1	1	6	1	1	2	3	7	5	2	1	2	1	3	3	27	1	39	3	5	4	17	6	15	4	19	10	5	3
SEQVEC	5	4	1	21	10	9	7	2	4	4	1	16	9	1	5	5	2	10	1	8	2	2	4	2	3	1	1	4	1	1	2	2	32	2	11	1	8	1	21	14	22	15	7	1	7	2	1	9	10	6	6	12	1	2
UNIREP	2	4	3	34	10	12	9	1	14	3	1	33	14	1	1	11	3	8	5	2	3	5	2	2	3	1	1	4	1	1	14	11	26	3	6	1	6	1	9	20	3	25	2	1	6	3	1	9	17	7	8	4	1	1
BLAST	10	2	1	19	4	6	9	9	9	12	1	28	4	1	17	5	4	5	10	1	2	9	2	2	1	1	1	15	1	1	1	2	4	2	2	1	3	1	8	3	26	2	40	1	10	2	13	12	16	3	25	1	6	4
MASHUP	3	8	2	25	15	5	16	5	3	11	1	41	10	1	4	14	1	14	6	3	13	5	2	1	2	1	1	3	1	4	14	32	12	4	1	3	5	1	5	10	4	1	22	1	5	6	5	10	14	1	6	3	1	5
