embedding	outer_AUC_average	outer_AUC_fold_0	outer_AUC_fold_1	outer_AUC_fold_2
BIOCONCEPTVEC-CBOW	0.7496293549619472	0.8064416784476978	0.6794648375167558	0.7629815489213879
PFAM	0.7483735907049445	0.7889696679982179	0.6167270375862152	0.8394240665304007
T5	0.7468299755941681	0.7953087380416729	0.6781545449131022	0.7670266438277291
PPI-RAW	0.7427373191638719	0.8171930527822346	0.6725529280089354	0.7384659767004453
ESM2	0.7384739231731797	0.8002523052056973	0.6562462050631128	0.7589232592507292
BIOCONCEPTVEC-FASTTEXT	0.7352471379843649	0.7856127440209704	0.6804115896695726	0.7397170802625517
BIOCONCEPTVEC-SKIP-GRAM	0.7298509384013553	0.7682839994840998	0.6580329677044587	0.7632358480155075
SEQVEC	0.7282341567290157	0.7781847101330444	0.6611416253042718	0.7453761347497314
HMMER	0.7265759758871607	0.7816874009241187	0.5614677288235754	0.8365727979137879
KSEP	0.7103053898384379	0.798263016922884	0.558594599026485	0.774058553565945
BLAST	0.6958206422273657	0.7532703749315378	0.4942626355445101	0.8399289162060494
NODE2VEC	0.6939078266270879	0.6478395250288407	0.7046929978241717	0.7291909570282511
BERT-PFAM	0.6921417371322854	0.7343164018748185	0.6327058006359637	0.709403008886074
ESMB1	0.6901768942764916	0.7256936517480764	0.6480410197386994	0.6967960113426992
XLNET	0.6738684533489415	0.6938896909636366	0.6331087890931677	0.69460687999002
UNIREP	0.6735175768237838	0.7174949830135217	0.5926939198246343	0.7103638276331952
GENEPT-MODEL3	0.6709685894905185	0.7103775967839839	0.6811750246163295	0.6213531470712421
ALBERT	0.6699322274253889	0.7640010275131289	0.6250830535232097	0.6207126012398281
PROTVEC	0.6692604754714969	0.7037082291440022	0.6006183281625506	0.7034548691079379
MUT2VEC	0.6542928028347353	0.6867521188885566	0.6149735350286695	0.6611527545869799
APAAC	0.6499145512115962	0.7195060648640886	0.5435958482133534	0.6866417405573468
BERT-BFD	0.6493505215830245	0.6834745092070678	0.6421230452932726	0.6224540102487333
AAC	0.6439972420705331	0.6811797537041026	0.5978747579942159	0.6529372145132811
LEARNED-VEC	0.6382826055850653	0.7393121306928104	0.6402426903230947	0.5352929957392907
GF-6L30M	0.6323899094132915	0.6082284651862045	0.6445827445138265	0.6443585185398434
CPC-PROT	0.6301692093653556	0.732015215483008	0.5780463336172043	0.5804460789958545
BIOCONCEPTVEC-GLOVE	0.624606297398436	0.6465658517658684	0.5849358119057178	0.6423172285237218
GENEPT-ADA	0.6070945037373424	0.6123290500040908	0.5978074643362951	0.6111469968716414
GF-20L95M	0.5792088910273642	0.5324536591936165	0.5634807373837928	0.641692276504683
SCGPT-HUMAN	0.5736806700284381	0.6271234884285086	0.5670743734148282	0.5268441482419776
SCGPT-PANCANCER	0.5646137895868145	0.569416264646796	0.6401382691297692	0.4842868349838783
FROGS-ARCHS4	0.5534918939616257	0.5132892531630149	0.5412258738700274	0.6059605548518348
GF-12L95MCANCER	0.5509950702634012	0.5792351600987642	0.6056112081841464	0.4681388425072931
GF-12L95M	0.5364841755392746	0.4961384298841975	0.5874790480809318	0.5258350486526946
GF-12L30M	0.5364613498212518	0.5631929506025565	0.5779658906238276	0.4682252082373714
TCGA-EMBEDDING	0.5309313847737712	0.4726563965371807	0.5695085474547914	0.5506292103293413
MASHUP	0.530196533776765	0.5131431290775855	0.5772581469801777	0.5001883252725319
GENE2VEC	0.5284572018621724	0.509180629734072	0.5470773281478543	0.5291136477045908
