embedding	outer_AUC	outer_AUPRC	outer_PR@10	outer_time	orig_pos_pairs	filtered_pos_pairs
BIOCONCEPTVEC-CBOW	0.7496293549619472	0.3147123900108025	0.5333333333333333	15.683264096577965	10568.0	4929.0
PFAM	0.7483735907049445	0.4111968142442987	0.5666666666666667	1330.062592188517	10568.0	4929.0
T5	0.7468299755941681	0.3351577667962193	0.5	83.0566873550415	10568.0	4929.0
PPI-RAW	0.7427373191638719	0.3594449852924009	0.3666666666666667	1559.161864201228	10568.0	4929.0
ESM2	0.7384739231731797	0.3499771979250317	0.6666666666666666	119.4164346853892	10568.0	4929.0
BIOCONCEPTVEC-FASTTEXT	0.7352471379843649	0.2920713720892956	0.6666666666666666	16.399639129638672	10568.0	4929.0
BIOCONCEPTVEC-SKIP-GRAM	0.7298509384013553	0.3168380965617852	0.7999999999999999	12.81105136871338	10568.0	4929.0
SEQVEC	0.7282341567290157	0.3834808875426033	0.8666666666666667	127.32502031326294	10568.0	4929.0
HMMER	0.7265759758871607	0.4055568244069735	0.6666666666666666	2032.635261774063	10568.0	4929.0
KSEP	0.7103053898384379	0.3821048304842651	0.5333333333333333	55.94565502802531	10568.0	4929.0
BLAST	0.6958206422273657	0.414260002329254	0.3666666666666666	3246.577567577362	10568.0	4929.0
NODE2VEC	0.6939078266270879	0.2586739118402468	0.7333333333333334	18.05890536308289	10568.0	4929.0
BERT-PFAM	0.6921417371322854	0.2509904984989082	0.5333333333333333	77.80535952250163	10568.0	4929.0
ESMB1	0.6901768942764916	0.246978051239781	0.2333333333333333	102.94626514116923	10568.0	4929.0
XLNET	0.6738684533489415	0.2262365060647296	0.4333333333333333	87.8695240020752	10568.0	4929.0
UNIREP	0.6735175768237838	0.2660588470817546	0.6666666666666666	580.265804608663	10568.0	4929.0
GENEPT-MODEL3	0.6709685894905185	0.2600569322180376	0.9	207.92384632428488	10568.0	4929.0
ALBERT	0.6699322274253889	0.2508786387320312	0.4333333333333333	332.5854515234629	10568.0	4929.0
PROTVEC	0.6692604754714969	0.2234782151479128	0.3333333333333333	14.337114254633583	10568.0	4929.0
MUT2VEC	0.6542928028347353	0.2238809961531921	0.6333333333333334	40.34726373354594	10568.0	4929.0
APAAC	0.6499145512115962	0.2186404504384517	0.2	15.734098434448242	10568.0	4929.0
BERT-BFD	0.6493505215830245	0.209580570369788	0.5666666666666668	102.47038396199544	10568.0	4929.0
AAC	0.6439972420705331	0.1982867466168408	0.3666666666666667	5.563597520192464	10568.0	4929.0
LEARNED-VEC	0.6382826055850653	0.2243027695026032	0.6333333333333333	3.967389901479085	10568.0	4929.0
GF-6L30M	0.6323899094132915	0.1823684352816488	0.4333333333333333	28.695679744084675	10568.0	4929.0
CPC-PROT	0.6301692093653556	0.2183226181904224	0.4666666666666667	55.96209247907003	10568.0	4929.0
BIOCONCEPTVEC-GLOVE	0.624606297398436	0.1800277943812246	0.3333333333333333	16.38911247253418	10568.0	4929.0
GENEPT-ADA	0.6070945037373424	0.2056747854356671	0.7666666666666666	127.77066691716512	10568.0	4929.0
GF-20L95M	0.5792088910273642	0.1373214622902403	0.0666666666666666	126.0918980439504	10568.0	4929.0
SCGPT-HUMAN	0.5736806700284381	0.1406252850654481	0.2666666666666666	63.932624181111656	10568.0	4929.0
SCGPT-PANCANCER	0.5646137895868145	0.1308516703635628	0.2333333333333333	91.24605552355447	10568.0	4929.0
FROGS-ARCHS4	0.5534918939616257	0.1317345327098391	0.3333333333333333	36.70148285230001	10568.0	4929.0
GF-12L95MCANCER	0.5509950702634012	0.121155340708379	0.1333333333333333	58.34540677070618	10568.0	4929.0
GF-12L95M	0.5364841755392746	0.1174661109901063	0.1	51.05289451281229	10568.0	4929.0
GF-12L30M	0.5364613498212518	0.1202477493140261	0.2	63.14521559079488	10568.0	4929.0
TCGA-EMBEDDING	0.5309313847737712	0.1253484286974265	0.3	3.8204383055369058	10568.0	4929.0
MASHUP	0.530196533776765	0.147159736174043	0.5333333333333333	67.87202175458272	10568.0	4929.0
GENE2VEC	0.5284572018621724	0.130663999301174	0.3333333333333333	25.48707771301269	10568.0	4929.0
