embedding	outer_AUC	outer_AUPRC	outer_PR@10	outer_time	orig_pos_pairs	filtered_pos_pairs
BIOCONCEPTVEC-FASTTEXT	0.7245028977443709	0.2509108288802762	0.5333333333333333	84.91314188639323	10568.0	10144.0
BIOCONCEPTVEC-CBOW	0.7234451289520581	0.2471051014195682	0.3333333333333333	44.32259996732076	10568.0	10144.0
T5	0.7231622186166758	0.2701575378774441	0.3333333333333333	653.9254759947459	10568.0	9443.0
GENEPT-MODEL3	0.7205924516710099	0.2707098364948493	0.8333333333333334	2675.7343950271606	10568.0	10203.0
BIOCONCEPTVEC-SKIP-GRAM	0.7183868915296673	0.2593047868775202	0.6333333333333333	56.08005658785502	10568.0	10144.0
NODE2VEC	0.7115918900267061	0.2320917124011037	0.6666666666666666	125.35094809532166	10568.0	10513.0
PPI-RAW	0.7039172336282693	0.237313956558682	0.3666666666666667	18508.58892361323	10568.0	10513.0
PFAM	0.7015780998423607	0.3114838844707457	0.5	8523.71001537641	10568.0	10486.0
ESM2	0.7014107487241578	0.2351658714824835	0.3999999999999999	646.1486583550771	10568.0	10492.0
HMMER	0.7011292112339836	0.349042967333493	0.6333333333333333	25737.630270004272	10568.0	10486.0
SEQVEC	0.6917361987814092	0.2854665254605659	0.7666666666666666	515.819241364797	10568.0	10486.0
BLAST	0.6873543795234399	0.3609503602192562	0.2333333333333333	19740.7469757398	10568.0	10486.0
ESMB1	0.6862195186989003	0.1854443551523749	0.1666666666666666	569.398753563563	10568.0	9443.0
KSEP	0.6615583062790861	0.2850026550295994	0.5333333333333333	412.7592678864797	10568.0	10449.0
MUT2VEC	0.6531385724568266	0.1924260129821461	0.5333333333333333	158.40561588605246	10568.0	9462.0
BERT-PFAM	0.6517306435951603	0.1816377621350619	0.3333333333333333	349.19312413533527	10568.0	9443.0
GENEPT-ADA	0.651160511576348	0.1938485325062898	0.8333333333333334	898.6988109747568	10568.0	10203.0
XLNET	0.650991976210376	0.1709531033065678	0.3	430.8129931290944	10568.0	9443.0
ALBERT	0.650953370653938	0.2005125191630711	0.3333333333333333	4553.87703371048	10568.0	9443.0
BIOCONCEPTVEC-GLOVE	0.6422199472388146	0.1770220321082184	0.3333333333333333	78.81778041521709	10568.0	10144.0
LEARNED-VEC	0.6367422966112722	0.203576468558599	0.7000000000000001	82.80303517977397	10568.0	10486.0
SCGPT-HUMAN	0.6351371294127192	0.1597366614303733	0.3	466.1378706296285	10568.0	10232.0
BERT-BFD	0.631140149205935	0.177302734473765	0.5333333333333333	527.1471436023712	10568.0	9443.0
GF-6L30M	0.6303245651564605	0.1520552144511289	0.4333333333333333	141.0921512444814	10568.0	10517.0
UNIREP	0.6271813912980733	0.1842211438550084	0.3333333333333333	5035.054674863815	10568.0	10486.0
GF-12L95MCANCER	0.6072873677985949	0.1350488659661326	0.2	261.0039276281993	10568.0	10520.0
PROTVEC	0.6031514579934588	0.1468357640420323	0.1666666666666666	168.12582095464072	10568.0	10486.0
GF-12L30M	0.6030475377703504	0.122445028138232	0.1999999999999999	205.5683669249217	10568.0	10517.0
CPC-PROT	0.5999422743733772	0.1540052393394206	0.2666666666666666	251.5005591710409	10568.0	9443.0
AAC	0.5985612271598884	0.1370383618461819	0.2333333333333333	34.56237848599752	10568.0	10486.0
GF-12L95M	0.5958810991977938	0.1252706555598287	0.3999999999999999	294.77338822682697	10568.0	10520.0
MASHUP	0.5886813950581612	0.1461409132103638	0.3666666666666667	326.6866660118103	10568.0	9535.0
APAAC	0.584300622896838	0.1412960555513685	0.0	177.19782209396362	10568.0	10486.0
GENE2VEC	0.5703176392133381	0.127082544613903	0.4666666666666666	107.48206567764282	10568.0	10385.0
FROGS-ARCHS4	0.563262711742068	0.127352195337338	0.3	106.8783353169759	10568.0	6917.0
GF-20L95M	0.5588804277814555	0.1066974662375394	0.1333333333333333	528.2678774197897	10568.0	10520.0
TCGA-EMBEDDING	0.5577551171297744	0.1201558187381448	0.3	32.38052113850912	10568.0	10418.0
SCGPT-PANCANCER	0.5507760409514456	0.1117239557705594	0.4000000000000001	512.3674328327179	10568.0	10232.0
