embedding	outer_AUC	outer_AUPRC	outer_PR@10	outer_time	orig_pos_pairs	filtered_pos_pairs
ESM2	0.775659238617175	0.4430423176627777	0.7333333333333334	89.72272578875224	10568.0	4929.0
T5	0.775464583585463	0.4221516408230479	0.7666666666666666	52.17952640851339	10568.0	4929.0
GENEPT-MODEL3	0.7374203993467464	0.3880892873459747	1.0	98.27248318990073	10568.0	4929.0
BIOCONCEPTVEC-SKIP-GRAM	0.7359942139587109	0.2891035902549833	0.6666666666666666	11.97042234738668	10568.0	4929.0
SEQVEC	0.735318065023017	0.399099679995444	0.8333333333333334	65.2196232477824	10568.0	4929.0
BIOCONCEPTVEC-FASTTEXT	0.7273789867127309	0.2907701361539277	0.6333333333333334	6.089083989461263	10568.0	4929.0
ALBERT	0.726885944389604	0.3790798129971673	0.9333333333333332	208.737487077713	10568.0	4929.0
BIOCONCEPTVEC-CBOW	0.7232910504248077	0.2822465111355471	0.5	8.973361571629843	10568.0	4929.0
XLNET	0.7201670231086942	0.3542529920044424	0.9666666666666668	56.25951385498047	10568.0	4929.0
PPI-RAW	0.7174437353366511	0.250528984624468	0.2666666666666666	1415.3326704502106	10568.0	4929.0
MASHUP	0.7162357613836076	0.3311282862721825	0.9666666666666668	74.13879593213399	10568.0	4929.0
BERT-PFAM	0.6917565047019516	0.2762890589987057	0.7666666666666666	37.39957515398661	10568.0	4929.0
ESMB1	0.6828791391793669	0.3504867920969108	0.6	106.86774802207948	10568.0	4929.0
MUT2VEC	0.670316743436768	0.3044266339091153	0.9333333333333332	28.021748781204224	10568.0	4929.0
KSEP	0.6592183079452144	0.343056119359982	0.5333333333333333	22.8618856271108	10568.0	4929.0
BIOCONCEPTVEC-GLOVE	0.6566755419473062	0.2027440318356471	0.5333333333333333	9.141549905141195	10568.0	4929.0
UNIREP	0.6442991526434064	0.2971161490313327	0.5666666666666668	287.19117124875385	10568.0	4929.0
NODE2VEC	0.6411911590451931	0.245497316664397	0.9	6.556646108627319	10568.0	4929.0
GENEPT-ADA	0.6357969262292886	0.2877322408619501	0.9666666666666668	59.349337100982666	10568.0	4929.0
PROTVEC	0.6318052186385777	0.2225697100055915	0.2	6.484931866327922	10568.0	4929.0
AAC	0.6248792727326922	0.1980012686666745	0.3333333333333333	7.099924882253011	10568.0	4929.0
CPC-PROT	0.6224671319552181	0.2229944134336289	0.5333333333333333	30.46562639872233	10568.0	4929.0
HMMER	0.6176369280642011	0.2776713612063778	0.8666666666666667	3585.2143956025443	10568.0	4929.0
APAAC	0.612733202352497	0.188131019515601	0.3	8.914047161738077	10568.0	4929.0
LEARNED-VEC	0.6086966020606801	0.1824542980992035	0.3666666666666667	4.929989258448283	10568.0	4929.0
GF-20L95M	0.601045096938058	0.2120111055980199	0.9333333333333332	70.36061684290569	10568.0	4929.0
SCGPT-PANCANCER	0.6009461343245741	0.2402198237099962	1.0	65.91982118288676	10568.0	4929.0
BLAST	0.5890490666576632	0.257690309449393	0.7333333333333334	3540.63059091568	10568.0	4929.0
GF-6L30M	0.5818352510011211	0.1990625866218309	0.9	21.72168000539144	10568.0	4929.0
PFAM	0.5799100446756614	0.2173839732750262	0.7666666666666666	790.558030128479	10568.0	4929.0
BERT-BFD	0.5755443024095322	0.1716737273250882	0.5	57.241573890050255	10568.0	4929.0
GENE2VEC	0.5659295744679083	0.1523350534880959	0.6333333333333334	21.94795823097229	10568.0	4929.0
GF-12L95MCANCER	0.5640875137696172	0.1440857751434567	0.4333333333333333	24.346981525421143	10568.0	4929.0
GF-12L95M	0.5583997828040312	0.1368867321390686	0.4333333333333333	30.79632377624512	10568.0	4929.0
SCGPT-HUMAN	0.5553964135819492	0.2113342958376043	1.0	63.43802626927694	10568.0	4929.0
GF-12L30M	0.5524333894128023	0.1385225474984115	0.5	38.48452687263489	10568.0	4929.0
TCGA-EMBEDDING	0.5466145193430472	0.1319173967983818	0.1666666666666666	4.980290412902832	10568.0	4929.0
FROGS-ARCHS4	0.5409953840552139	0.1810723424924546	0.9666666666666668	38.27696418762207	10568.0	4929.0
