embedding	outer_AUC_average	outer_AUC_fold_0	outer_AUC_fold_1	outer_AUC_fold_2
PPI-RAW	0.7789388745936169	0.8562189017399484	0.7092890773111311	0.7713086447297712
PFAM	0.7676703465273143	0.8275776878167882	0.6422908926929143	0.8331424590722402
T5	0.7503746356735889	0.7798813929733964	0.6976619708069284	0.7735805432404421
ESM2	0.7400274818120444	0.7758628019882878	0.6807441905075721	0.7634754529402732
SEQVEC	0.7338940794994236	0.7864651940645754	0.6536101500493873	0.7616068943843084
BLAST	0.7308140485593757	0.766161627529349	0.5426108082896505	0.8836697098591278
HMMER	0.7257418791087633	0.7715562500915508	0.5503259874957555	0.8553433997389837
KSEP	0.7112183487882007	0.8061104876721648	0.5758109465897199	0.7517336121027176
GENEPT-MODEL3	0.7090227371489908	0.7723917297340364	0.6900160189845466	0.6646604627283894
BIOCONCEPTVEC-CBOW	0.6908824851817085	0.72507950186335	0.6293550405656999	0.7182129131160755
ALBERT	0.6901066726675946	0.8152398489312755	0.6664191497639694	0.5886610193075387
ESMB1	0.6871517390610192	0.6469745704791476	0.6892634129022828	0.7252172338016274
BIOCONCEPTVEC-FASTTEXT	0.6839835902116036	0.7365611393534315	0.6103294991418124	0.7050601321395671
MUT2VEC	0.6738499792935474	0.7394668292967002	0.6604516719380031	0.621631436645939
UNIREP	0.6724963346155084	0.6820765054264197	0.6166079200767922	0.7188045783433133
BIOCONCEPTVEC-SKIP-GRAM	0.6705672608266662	0.6853355369845777	0.6198828780956049	0.7064833673998158
BERT-PFAM	0.6699234807748885	0.7407140644610862	0.6517375299824185	0.6173188478811608
BERT-BFD	0.6622705008773779	0.7436165389599323	0.6194868510512893	0.6237081126209121
XLNET	0.6607458874940433	0.7585951508954477	0.5913581020403902	0.6322844095462921
PROTVEC	0.6429584677224727	0.6970029557079676	0.5425299785511134	0.6893424689083372
CPC-PROT	0.6425363196619966	0.7575519178160988	0.5739514758582068	0.5961055653116843
NODE2VEC	0.6327988784964776	0.5560582367002966	0.6513360885058566	0.6910023102832796
APAAC	0.6237864803802521	0.700208396525748	0.514456920843321	0.6566941237716873
BIOCONCEPTVEC-GLOVE	0.6175560527175724	0.653867768778106	0.5924703811218859	0.6063300082527253
LEARNED-VEC	0.6171069816681235	0.7603897261548895	0.5469860562899846	0.5439451625594963
AAC	0.6155701941550075	0.6810229114705978	0.5286156611679239	0.6370720098265008
SCGPT-HUMAN	0.6126296189441721	0.6339434460489513	0.5867063312503238	0.6172390795332413
GENEPT-ADA	0.6062387577322695	0.5609233827475686	0.6277222024982191	0.6300706879510212
GF-12L30M	0.591750325411944	0.5873534427227526	0.5836966804115897	0.6042008531014893
GF-20L95M	0.5912480669639256	0.5393807982948141	0.6173102492881956	0.6170531533087672
SCGPT-PANCANCER	0.5889987980685562	0.5830343863199274	0.6616157748710012	0.5223462330147397
GF-6L30M	0.5811817779242759	0.5657395825852959	0.5963571699845535	0.5814485812029786
FROGS-ARCHS4	0.5704430666658223	0.542727718667191	0.5547147715767059	0.6138867097535698
GF-12L95MCANCER	0.5435860173923451	0.5676124003256888	0.5877373938481221	0.4754082580032243
GF-12L95M	0.5346097188999371	0.4593641065655445	0.6162807336710393	0.5281843164632274
TCGA-EMBEDDING	0.5218063625334215	0.5118565940369226	0.5336920781441801	0.5198704154191618
MASHUP	0.5070595278676748	0.4724145236622769	0.5865949486441102	0.4621691112966375
GENE2VEC	0.5005542244747754	0.5416923455630976	0.539433696796435	0.4205366310647935
