embedding	outer_AUC	outer_AUPRC	outer_PR@10	outer_time	orig_pos_pairs	filtered_pos_pairs
PPI-RAW	0.7789388745936169	0.4589417391603835	0.8333333333333334	745.9078051249186	10568.0	4929.0
PFAM	0.7676703465273143	0.4235043634295174	0.6666666666666666	436.7842179934184	10568.0	4929.0
T5	0.7503746356735889	0.3236622005946968	0.5	39.86300150553385	10568.0	4929.0
ESM2	0.7400274818120444	0.3382515592341615	0.6666666666666666	84.51470351219177	10568.0	4929.0
SEQVEC	0.7338940794994236	0.352045822621152	0.6333333333333333	42.024466355641685	10568.0	4929.0
BLAST	0.7308140485593757	0.4240718870898024	0.2666666666666666	1438.2754179636638	10568.0	4929.0
HMMER	0.7257418791087633	0.3423768753153006	0.2666666666666666	1200.9039575258892	10568.0	4929.0
KSEP	0.7112183487882007	0.3428893313685121	0.3666666666666667	26.89069716135661	10568.0	4929.0
GENEPT-MODEL3	0.7090227371489908	0.3503472561366581	1.0	84.47443620363872	10568.0	4929.0
BIOCONCEPTVEC-CBOW	0.6908824851817085	0.2251892558820952	0.3333333333333333	5.544739246368408	10568.0	4929.0
ALBERT	0.6901066726675946	0.3039143006619017	0.7999999999999999	148.17744358380637	10568.0	4929.0
ESMB1	0.6871517390610192	0.2532085798219946	0.4666666666666666	50.67297204335531	10568.0	4929.0
BIOCONCEPTVEC-FASTTEXT	0.6839835902116036	0.2382922718059138	0.4666666666666666	6.887632449467977	10568.0	4929.0
MUT2VEC	0.6738499792935474	0.2892978726726796	0.7666666666666666	13.691425482432049	10568.0	4929.0
UNIREP	0.6724963346155084	0.2395392925771655	0.6	238.7045865853628	10568.0	4929.0
BIOCONCEPTVEC-SKIP-GRAM	0.6705672608266662	0.2171877458488505	0.5333333333333333	3.9407975673675537	10568.0	4929.0
BERT-PFAM	0.6699234807748885	0.2377970181262318	0.6333333333333333	34.58265948295593	10568.0	4929.0
BERT-BFD	0.6622705008773779	0.2240870575349042	0.5	49.43077381451925	10568.0	4929.0
XLNET	0.6607458874940433	0.2260179387576834	0.3333333333333333	45.93447152773539	10568.0	4929.0
PROTVEC	0.6429584677224727	0.2184828652058827	0.2666666666666666	10.13941478729248	10568.0	4929.0
CPC-PROT	0.6425363196619966	0.2388510341312472	0.3666666666666667	35.66084853808085	10568.0	4929.0
NODE2VEC	0.6327988784964776	0.1847077241649652	0.4333333333333333	7.6047046184539795	10568.0	4929.0
APAAC	0.6237864803802521	0.2000993973287439	0.1	11.164247035980225	10568.0	4929.0
BIOCONCEPTVEC-GLOVE	0.6175560527175724	0.1613052258872658	0.1	8.533899068832397	10568.0	4929.0
LEARNED-VEC	0.6171069816681235	0.2120959549525472	0.5	5.52090318997701	10568.0	4929.0
AAC	0.6155701941550075	0.1855149375442477	0.1666666666666666	6.332816044489543	10568.0	4929.0
SCGPT-HUMAN	0.6126296189441721	0.220804729119503	0.9333333333333332	28.698321024576824	10568.0	4929.0
GENEPT-ADA	0.6062387577322695	0.2452227030361335	1.0	50.63575847943624	10568.0	4929.0
GF-12L30M	0.591750325411944	0.145404408152508	0.3	22.03458420435588	10568.0	4929.0
GF-20L95M	0.5912480669639256	0.1696536028841608	0.4666666666666666	49.89332660039266	10568.0	4929.0
SCGPT-PANCANCER	0.5889987980685562	0.2035408983515119	0.8666666666666667	28.05287869771321	10568.0	4929.0
GF-6L30M	0.5811817779242759	0.167828847735287	0.3999999999999999	15.84799083073934	10568.0	4929.0
FROGS-ARCHS4	0.5704430666658223	0.1373805659558364	0.1666666666666666	23.35392006238301	10568.0	4929.0
GF-12L95MCANCER	0.5435860173923451	0.1249667214312543	0.4000000000000001	36.74745933214823	10568.0	4929.0
GF-12L95M	0.5346097188999371	0.1296776285340959	0.3999999999999999	33.23550279935201	10568.0	4929.0
TCGA-EMBEDDING	0.5218063625334215	0.116343072846543	0.1666666666666666	5.310933589935303	10568.0	4929.0
MASHUP	0.5070595278676748	0.1774916706812558	0.7999999999999999	31.078137397766117	10568.0	4929.0
GENE2VEC	0.5005542244747754	0.1102198674242437	0.1666666666666666	11.356747468312582	10568.0	4929.0
