embedding	outer_AUC_average	outer_AUC_fold_0	outer_AUC_fold_1	outer_AUC_fold_2
MASHUP	0.6460407651836184	0.6044320830400612	0.6727341795608265	0.6609560329499674
GENEPT-MODEL3	0.6430039024143404	0.6223316293104918	0.6143129806355971	0.6923670972969322
PPI-RAW	0.6412982946250024	0.6205500770828818	0.6493968312795331	0.6539479755125925
BIOCONCEPTVEC-CBOW	0.6108031998559664	0.5299819531073047	0.6585824145279348	0.6438452319326597
T5	0.6008128742314746	0.6247110914107994	0.5566774761419438	0.6210500551416803
SEQVEC	0.5861915424975789	0.5989181606295224	0.5828407301028444	0.57681573676037
BIOCONCEPTVEC-GLOVE	0.585819873283154	0.5530788096357255	0.6093894190679144	0.5949913911458217
GENEPT-ADA	0.5854982749719494	0.5978818646994499	0.5230797739275456	0.6355331862888524
BIOCONCEPTVEC-FASTTEXT	0.5844998669293663	0.539600873849541	0.6163457796720097	0.5975529472665482
MUT2VEC	0.5815544854136426	0.5381627240335414	0.6125488742703604	0.5939518579370259
KSEP	0.5764834667412898	0.580723921509412	0.6226776614472342	0.5260488172672233
BIOCONCEPTVEC-SKIP-GRAM	0.5756474031692506	0.5386218116547369	0.5649254146205873	0.6233949832324278
BERT-BFD	0.5756297886483549	0.5816956772699264	0.5702825905679607	0.5749110981071774
NODE2VEC	0.5728253894399162	0.5828026020647984	0.5315148707495599	0.6041586955053905
UNIREP	0.5711119758439916	0.5795074002001963	0.556557027703141	0.5772714996286377
XLNET	0.5710476970526008	0.5743015657688683	0.5273751505605486	0.6114663748283855
ESM2	0.5639248067536976	0.5538532916704214	0.5636486611692765	0.574272467421395
CPC-PROT	0.5609005630986929	0.583281173510766	0.5267080515148708	0.5727124642704418
ALBERT	0.5559974474897905	0.6045295021639223	0.5175039377374224	0.5459589025680268
SCGPT-PANCANCER	0.5541590440108933	0.5712097263253263	0.4858019086444918	0.6054654970628616
BERT-PFAM	0.5501501733356547	0.5240613058546458	0.5608690818122858	0.5655201323400328
GF-12L30M	0.548158363793357	0.5215491101980774	0.5530732882423793	0.5698526929396143
AAC	0.547103261168679	0.5121311163988046	0.5680459557120355	0.561132711395197
LEARNED-VEC	0.544824195548943	0.5622325540615251	0.5278847401093301	0.544355292475974
ESMB1	0.5438239637194535	0.5719939502724082	0.4969554340776428	0.5625225068083095
SCGPT-HUMAN	0.5435468481950874	0.5804730672654697	0.4835374779949967	0.5666299993247959
FROGS-ARCHS4	0.5408875400945834	0.5113627230593502	0.5641804873529138	0.5471194098714861
HMMER	0.5343293546258867	0.5176541718522054	0.5082368201612156	0.577097071864239
BLAST	0.5329318379460536	0.5418561265669257	0.4909135550819976	0.5660258321892373
PFAM	0.528055054627299	0.537334661480722	0.5283517094413046	0.5184787929598703
GF-12L95M	0.5264190438844597	0.5109730465639057	0.4980839432965812	0.5702001417928924
PROTVEC	0.5262518393941829	0.5563460035022175	0.5191994811451867	0.5032100335351444
GENE2VEC	0.5214425399750896	0.5403570897985128	0.4811414805892708	0.542829049537485
APAAC	0.5202014379604513	0.5256151408802305	0.4893875660150097	0.5456016069861134
GF-20L95M	0.5139200126618774	0.5264395502159052	0.4704067451125729	0.5449137426571538
TCGA-EMBEDDING	0.5129407005000152	0.489819701556514	0.5365533215973316	0.5124490783461997
GF-12L95MCANCER	0.5110188098437375	0.4685604132519234	0.5245492448809413	0.5399467713983479
GF-6L30M	0.4761683455784912	0.4653723724235686	0.4686834059112388	0.4944492584006661
