embedding	outer_AUC	outer_AUPRC	outer_PR@10	outer_time	orig_pos_pairs	filtered_pos_pairs
PPI-RAW	0.6730485952229329	0.1796754866548735	0.4333333333333333	8534.874664227167	5966.0	5924.0
GENEPT-MODEL3	0.6469580422799908	0.1535817749313069	0.1333333333333333	912.1251263618468	5966.0	5774.0
NODE2VEC	0.6467802582587208	0.1685452350256363	0.4333333333333333	67.15621431668599	5966.0	5924.0
MASHUP	0.6408969204425129	0.1845265732506296	0.6666666666666666	171.3165239493052	5966.0	5645.0
BIOCONCEPTVEC-CBOW	0.6244345960683172	0.170954328675886	0.4666666666666666	43.19804334640503	5966.0	5688.0
T5	0.6203244991674371	0.127569786212904	0.1	276.45445640881854	5966.0	5454.0
BIOCONCEPTVEC-SKIP-GRAM	0.6043373582415854	0.1563649052420739	0.3999999999999999	35.34977904955546	5966.0	5688.0
BIOCONCEPTVEC-GLOVE	0.5933652253917393	0.1270087309066538	0.1333333333333333	39.03256591161093	5966.0	5688.0
BIOCONCEPTVEC-FASTTEXT	0.592171699066166	0.1364551378974254	0.3	28.33657177289327	5966.0	5688.0
SEQVEC	0.5912928143322639	0.1202152414133992	0.1666666666666666	218.2325660387675	5966.0	5732.0
GENEPT-ADA	0.5868536080151945	0.1264420855618221	0.3	351.09264246622723	5966.0	5774.0
ESM2	0.5854533082995582	0.1134666143991699	0.1	373.85853298505145	5966.0	5743.0
MUT2VEC	0.580908516904486	0.1221141770895001	0.2666666666666666	75.17397705713908	5966.0	5117.0
CPC-PROT	0.5759396404393612	0.1047357885938901	0.0999999999999999	170.31720185279846	5966.0	5454.0
BERT-BFD	0.5749220099871417	0.1105329949359766	0.1	219.0206197897593	5966.0	5454.0
XLNET	0.5737904706446929	0.103921530486195	0.0333333333333333	233.757884422938	5966.0	5454.0
SCGPT-PANCANCER	0.5714581290876042	0.1223262430016491	0.3666666666666667	140.12189308802286	5966.0	5776.0
BERT-PFAM	0.5712669791234538	0.1073327085416201	0.1333333333333333	159.72325587272644	5966.0	5470.0
GENE2VEC	0.5692586160900569	0.1074642830639586	0.2333333333333333	55.86559995015463	5966.0	5684.0
UNIREP	0.5658537433979268	0.1053787035834021	0.0333333333333333	2591.9284167289734	5966.0	5732.0
LEARNED-VEC	0.5652796033894439	0.1057224572919489	0.0666666666666666	22.96066792805989	5966.0	5732.0
ESMB1	0.5582336749218086	0.1029623911159802	0.0666666666666666	357.4945074717204	5966.0	5454.0
ALBERT	0.5577463655475585	0.1014577971540218	0.0333333333333333	1139.6180080572765	5966.0	5454.0
FROGS-ARCHS4	0.5554985301970983	0.1120676805591064	0.1666666666666666	18.387311458587646	5966.0	3406.0
SCGPT-HUMAN	0.5553186336036695	0.1069842946885648	0.1	130.4728660583496	5966.0	5776.0
GF-12L30M	0.5495904958935937	0.1022419754495119	0.0333333333333333	114.46568791071574	5966.0	5944.0
AAC	0.5477587116197894	0.097600159756288	0.1333333333333333	11.733305295308432	5966.0	5732.0
HMMER	0.5442839191592953	0.1044645165028571	0.1333333333333333	7489.26452978452	5966.0	5732.0
KSEP	0.543813244316747	0.0977589000339771	0.0666666666666666	130.44338607788086	5966.0	5732.0
TCGA-EMBEDDING	0.5390398834283703	0.101250157309176	0.1333333333333333	11.725547949473064	5966.0	5723.0
PFAM	0.5314388288652365	0.096941963105272	0.0666666666666666	3178.050926526388	5966.0	5732.0
GF-12L95MCANCER	0.5264980844835927	0.0939408827748089	0.1333333333333333	118.19344226519269	5966.0	5937.0
GF-12L95M	0.5150587930047191	0.0913259568120555	0.0666666666666666	99.8270165125529	5966.0	5937.0
APAAC	0.5138936497718108	0.0945382932550733	0.1333333333333333	30.388357321421307	5966.0	5732.0
BLAST	0.5125226458096921	0.0945822111022976	0.1333333333333333	13276.95325867335	5966.0	5732.0
PROTVEC	0.5119555235548303	0.090655690418567	0.1333333333333333	29.471741040547688	5966.0	5732.0
GF-20L95M	0.502132507579056	0.0873397784802612	0.0666666666666666	338.1304799715678	5966.0	5937.0
GF-6L30M	0.4783310509969005	0.0869794025516536	0.1666666666666666	88.47466468811035	5966.0	5944.0
