embedding	outer_AUC_average	outer_AUC_fold_0	outer_AUC_fold_1	outer_AUC_fold_2
ESMB1	0.6411131323699683	0.5939765755716676	0.6244158250718058	0.7049469964664312
XLNET	0.6286222012561912	0.6064547475992275	0.6253738534235151	0.6540380027458307
ESM2	0.6238416191753144	0.5800590359890598	0.6386361530621699	0.6528296684747137
GENEPT-MODEL3	0.6125328802367727	0.576672503695838	0.6253071435189475	0.6356189934955324
SEQVEC	0.609260420763064	0.6010918248306734	0.5960233484665987	0.63066608899192
BIOCONCEPTVEC-SKIP-GRAM	0.5949056117331312	0.5637547278718548	0.6024145279347726	0.6185475793927663
T5	0.5928025557027926	0.6044978409486674	0.590984897618827	0.5829249285408836
BIOCONCEPTVEC-FASTTEXT	0.5921426806967441	0.525210851516207	0.6100305753729269	0.6411866152010984
BERT-BFD	0.589923615989184	0.59761517984788	0.577326044658575	0.594829623461097
BIOCONCEPTVEC-CBOW	0.5862276400697799	0.5379642325686744	0.5708514778096914	0.6498672098309739
NODE2VEC	0.5834473357648675	0.55191830432273	0.6006541276753451	0.5977695752965272
UNIREP	0.5823148516845944	0.602073322503574	0.5850903363291022	0.5597808962211068
PPI-RAW	0.5689137345801276	0.5657846988653108	0.5888103400352079	0.552146164839864
BERT-PFAM	0.5649601361335699	0.5266075982045656	0.5887464097099973	0.579526400486147
GENEPT-ADA	0.5530778037362382	0.5397810992286841	0.5235986287408506	0.5958536832391799
ALBERT	0.5470133815743957	0.5380908774296939	0.5732993606967479	0.5296499065967455
AAC	0.5466674235873782	0.5210790629254476	0.5497414991197999	0.5691817087168869
GF-12L95MCANCER	0.5464946621045021	0.5318536180244863	0.5642175484110071	0.543412819878013
MASHUP	0.5463877274942645	0.5276146683974798	0.588021866024275	0.5235266480610384
PROTVEC	0.5448073724012025	0.5318791905444998	0.5503215046789586	0.552221421980149
BIOCONCEPTVEC-GLOVE	0.5420311139418157	0.4859034527772975	0.6065801908644491	0.5336096981837005
GF-12L30M	0.5380105987765951	0.5270289359152649	0.5304123042712869	0.5565905561432334
MUT2VEC	0.5379871647652771	0.5380750468220664	0.5050125081071064	0.5708739393666583
APAAC	0.5368605477986469	0.5412265554789734	0.5277568794589086	0.5415982084580586
KSEP	0.5339912791860514	0.530542113069506	0.5157231538960437	0.5557085705926043
GF-12L95M	0.5322989972618068	0.5349917315518623	0.4911776151209117	0.5707276451126466
GF-20L95M	0.5188179675399983	0.5494633424014301	0.4959214305568423	0.5110691296617227
HMMER	0.515612728116722	0.5157843335435963	0.5128444362086538	0.5182094145979158
CPC-PROT	0.5129077159337261	0.4952629951022536	0.5215750949689614	0.5218850577299634
GENE2VEC	0.5084895111396514	0.5314688124852349	0.4667228759381079	0.5272768449956111
LEARNED-VEC	0.5067174499682414	0.5113761181888811	0.5077198184008154	0.5010564133150278
TCGA-EMBEDDING	0.5054887511788335	0.4909314973075789	0.5104326878532381	0.5151020683756836
BLAST	0.5050069342301375	0.5039521720811404	0.5018549059575651	0.5092137246517071
PFAM	0.5035602069342201	0.5054743458914702	0.4995422959325489	0.5056639789786411
SCGPT-PANCANCER	0.5031367761043987	0.5142451113865908	0.4886185490595757	0.5065466678670297
SCGPT-HUMAN	0.4987266603350975	0.4971699744518348	0.4776299453349393	0.5213800612185187
GF-6L30M	0.4610217659093021	0.4700582322812879	0.438591679792458	0.4744153856541604
FROGS-ARCHS4	0.4580803592899818	0.4659434920372043	0.4634392661910498	0.4448583196416916
