embedding	outer_AUC	outer_AUPRC	outer_PR@10	outer_time	orig_pos_pairs	filtered_pos_pairs
ESMB1	0.6411131323699683	0.1550021719775052	0.1666666666666666	71.37206276257832	5966.0	2535.0
XLNET	0.6286222012561912	0.1513697916589418	0.1999999999999999	37.7405386765798	5966.0	2535.0
ESM2	0.6238416191753144	0.1522861661340253	0.2	57.99432309468588	5966.0	2535.0
GENEPT-MODEL3	0.6125328802367727	0.1584490604402718	0.3666666666666667	77.5786333878835	5966.0	2535.0
SEQVEC	0.609260420763064	0.1382242152757194	0.1	28.01088809967041	5966.0	2535.0
BIOCONCEPTVEC-SKIP-GRAM	0.5949056117331312	0.1468303177936807	0.3	4.708569447199504	5966.0	2535.0
T5	0.5928025557027926	0.1447433235299028	0.3666666666666667	15.93748378753662	5966.0	2535.0
BIOCONCEPTVEC-FASTTEXT	0.5921426806967441	0.1677803875527992	0.4666666666666666	5.103540182113648	5966.0	2535.0
BERT-BFD	0.589923615989184	0.1427789997221868	0.2	27.13572867711385	5966.0	2535.0
BIOCONCEPTVEC-CBOW	0.5862276400697799	0.1376339687772373	0.2333333333333333	4.346814393997192	5966.0	2535.0
NODE2VEC	0.5834473357648675	0.141402695449362	0.1999999999999999	4.5421576499938965	5966.0	2535.0
UNIREP	0.5823148516845944	0.1356097819795257	0.1666666666666666	172.06370933850607	5966.0	2535.0
PPI-RAW	0.5689137345801276	0.1259072468395475	0.1666666666666666	859.2163717746735	5966.0	2535.0
BERT-PFAM	0.5649601361335699	0.1174315277874289	0.1333333333333333	16.980730215708416	5966.0	2535.0
GENEPT-ADA	0.5530778037362382	0.1209367912084759	0.1	52.181185722351074	5966.0	2535.0
ALBERT	0.5470133815743957	0.116037950914854	0.1333333333333333	96.57014147440592	5966.0	2535.0
AAC	0.5466674235873782	0.1137023887723895	0.0999999999999999	1.493439515431722	5966.0	2535.0
GF-12L95MCANCER	0.5464946621045021	0.1123280348623218	0.1333333333333333	14.402026971181234	5966.0	2535.0
MASHUP	0.5463877274942645	0.1196398489780432	0.1333333333333333	43.39892840385437	5966.0	2535.0
PROTVEC	0.5448073724012025	0.1207183268891607	0.1333333333333333	2.9469003677368164	5966.0	2535.0
BIOCONCEPTVEC-GLOVE	0.5420311139418157	0.1151626518844185	0.1666666666666666	4.394370635350545	5966.0	2535.0
GF-12L30M	0.5380105987765951	0.1166259028580523	0.2666666666666666	20.871548334757488	5966.0	2535.0
MUT2VEC	0.5379871647652771	0.120769668426147	0.2666666666666666	10.65215571721395	5966.0	2535.0
APAAC	0.5368605477986469	0.1113312295657468	0.0666666666666666	2.57853364944458	5966.0	2535.0
KSEP	0.5339912791860514	0.1121832102075544	0.1333333333333333	8.968416849772135	5966.0	2535.0
GF-12L95M	0.5322989972618068	0.1091431684388546	0.0333333333333333	13.495200554529823	5966.0	2535.0
GF-20L95M	0.5188179675399983	0.1063398110977581	0.0333333333333333	34.566402196884155	5966.0	2535.0
HMMER	0.515612728116722	0.1140378762235721	0.3666666666666667	1688.883013963699	5966.0	2535.0
CPC-PROT	0.5129077159337261	0.0985703643367155	0.0666666666666666	11.467690706253052	5966.0	2535.0
GENE2VEC	0.5084895111396514	0.1006743938901829	0.0	6.3579433759053545	5966.0	2535.0
LEARNED-VEC	0.5067174499682414	0.0997166103490541	0.0666666666666666	2.4947916666666665	5966.0	2535.0
TCGA-EMBEDDING	0.5054887511788335	0.099695784158064	0.1	2.6403175989786782	5966.0	2535.0
BLAST	0.5050069342301375	0.1024930455491086	0.3333333333333333	1508.9019966125488	5966.0	2535.0
PFAM	0.5035602069342201	0.1001340511662002	0.2333333333333333	262.6432517369588	5966.0	2535.0
SCGPT-PANCANCER	0.5031367761043987	0.0986082035756567	0.0333333333333333	27.23330005009969	5966.0	2535.0
SCGPT-HUMAN	0.4987266603350975	0.1037276394911706	0.1666666666666666	30.686420281728108	5966.0	2535.0
GF-6L30M	0.4610217659093021	0.0920713305964423	0.0666666666666666	10.453376054763794	5966.0	2535.0
FROGS-ARCHS4	0.4580803592899818	0.0887737789054445	0.1	16.104883670806885	5966.0	2535.0
