embedding	outer_AUC_average	outer_AUC_fold_0	outer_AUC_fold_1	outer_AUC_fold_2
PPI-RAW	0.65314413116226	0.6116508401181694	0.6989215232094875	0.6488600301591232
MASHUP	0.6262903909788587	0.5558187224943193	0.7004058185861207	0.6226466318561364
GENEPT-MODEL3	0.6128922411387362	0.6214207605023905	0.5944278699156861	0.622828092998132
BIOCONCEPTVEC-CBOW	0.604549573308792	0.5099939843691015	0.669697025850088	0.6339577097071865
BERT-BFD	0.5983409082566915	0.5863376985219083	0.613266005744464	0.5954190205037023
T5	0.5946560588176346	0.6044880990362813	0.5737107384415825	0.60576933897504
NODE2VEC	0.5934752061671197	0.5786915150378595	0.5675400722690632	0.6341940311944363
GENEPT-ADA	0.5856347329730837	0.6103198513384169	0.5419234689150376	0.6046608786657964
SEQVEC	0.585261412328303	0.5850700321726656	0.5799962938941907	0.5907179109180527
BIOCONCEPTVEC-SKIP-GRAM	0.5777335204869417	0.5230846791379382	0.582177337162976	0.627938545159911
ESM2	0.5757994151896683	0.5709101625194534	0.568992865746317	0.5874952173032342
UNIREP	0.5751658477836469	0.5552195948825733	0.5607541925321967	0.6095237559361706
SCGPT-PANCANCER	0.5736970837372652	0.5882812100429374	0.5248772352450662	0.607932805923792
BIOCONCEPTVEC-FASTTEXT	0.565396853500601	0.4959534531426192	0.6295432224590012	0.5706938849001822
GF-12L30M	0.5622905717005747	0.513738531942513	0.5956675623089038	0.5774656208503072
LEARNED-VEC	0.5618827561444787	0.587984081715161	0.5637450199203187	0.5339191667979564
MUT2VEC	0.5598526017946508	0.529258616112636	0.5966626517187066	0.5536365375526097
KSEP	0.5594903425135631	0.5286960206723381	0.5918354489020662	0.5579395579662848
XLNET	0.5546937515311466	0.5408429676787702	0.5264041508385066	0.5968341360761631
BIOCONCEPTVEC-GLOVE	0.5532152019833455	0.534616667924997	0.5868433243769109	0.5381856136481286
CPC-PROT	0.5526799496209164	0.5767078181282376	0.5511405540628185	0.5301914766716932
BERT-PFAM	0.5493519232195788	0.5464311721712531	0.5591401834522376	0.5424844140352456
SCGPT-HUMAN	0.5458447467430924	0.5900591090534028	0.4978912257944964	0.5495839053813778
GF-12L95M	0.5411723641434613	0.5364128330211861	0.509910126934124	0.5771941324750738
FROGS-ARCHS4	0.5408775110212932	0.5446691037684153	0.5683980357639211	0.5095653935315433
AAC	0.5388608075964441	0.5366210663984394	0.5244047067543778	0.5555566496365151
ALBERT	0.5384216578302522	0.5761452226879398	0.5182840730102845	0.5208356777925323
ESMB1	0.5373518029791365	0.5450514738295701	0.5090503103863615	0.5579536247214782
BLAST	0.5371564378352762	0.5556141423342109	0.4943982210692116	0.561456950102406
APAAC	0.5331205197691876	0.5547958216937776	0.4884295376633003	0.556136199950485
GF-20L95M	0.5285877024078893	0.5425149233920364	0.5078773278977115	0.5353708559339201
HMMER	0.5213186117301117	0.5213707114275068	0.4733605114426016	0.5692246123202269
PFAM	0.5176133184762238	0.514047837660772	0.5231752061521356	0.5156169116157638
GF-12L95MCANCER	0.514737258452508	0.4806038524392531	0.5002371907717965	0.5633707321464744
PROTVEC	0.5122764637107707	0.4901777168367036	0.5606874826276289	0.4859641916679796
GENE2VEC	0.5003116439914086	0.5155383502558469	0.5271509311590846	0.4582456505592942
TCGA-EMBEDDING	0.492533948725719	0.4367542870503194	0.5441841934587233	0.4966633656681146
GF-6L30M	0.4584534534797519	0.4543761888177459	0.4587491892893542	0.4622349823321555
