embedding	outer_AUC	outer_AUPRC	outer_PR@10	outer_time	orig_pos_pairs	filtered_pos_pairs
PPI-RAW	0.6720698275417086	0.1851130031656177	0.3333333333333333	4824.9940321445465	5966.0	5924.0
NODE2VEC	0.6464347594227376	0.1697255215053763	0.3999999999999999	27.46374026934306	5966.0	5924.0
GENEPT-MODEL3	0.6356328206514107	0.1485385222572216	0.3	465.19649863243103	5966.0	5774.0
MASHUP	0.6274154924244942	0.1595230540669749	0.4000000000000001	127.12404402097066	5966.0	5645.0
BIOCONCEPTVEC-CBOW	0.6247397317008997	0.163322105745781	0.5	28.379822572072342	5966.0	5688.0
T5	0.596703449245796	0.1138608201661531	0.0	134.03214263916016	5966.0	5454.0
SEQVEC	0.5965846645111978	0.1135309680883359	0.1	130.63737042744955	5966.0	5732.0
BERT-BFD	0.5927226403268347	0.1193663159541135	0.3	141.38276878992716	5966.0	5454.0
ESM2	0.5865682529700655	0.1168177553722248	0.2666666666666666	163.293666044871	5966.0	5743.0
BIOCONCEPTVEC-SKIP-GRAM	0.582837905516261	0.1318868947048495	0.3	22.197654724121094	5966.0	5688.0
GENEPT-ADA	0.5815340816211992	0.1223949376224225	0.3666666666666667	219.3470346132914	5966.0	5774.0
BIOCONCEPTVEC-GLOVE	0.5784147216034451	0.1243723560399822	0.1666666666666666	25.316871563593548	5966.0	5688.0
AAC	0.5733001512157471	0.1095317659154274	0.2333333333333333	16.416266520818073	5966.0	5732.0
SCGPT-PANCANCER	0.5686115680111429	0.1177693642014781	0.2666666666666666	94.51666084925334	5966.0	5776.0
MUT2VEC	0.5669355703023079	0.1107781285680633	0.3	55.63717563947042	5966.0	5117.0
GENE2VEC	0.5668761043372865	0.1087083347554882	0.1666666666666666	59.6591161886851	5966.0	5684.0
LEARNED-VEC	0.5668626944761214	0.1066169718964788	0.0666666666666666	14.346325635910034	5966.0	5732.0
BIOCONCEPTVEC-FASTTEXT	0.5659659880400604	0.1207091099783185	0.2333333333333333	22.46295754114787	5966.0	5688.0
XLNET	0.5637298763541128	0.0992460231555246	0.0999999999999999	132.18778793017069	5966.0	5454.0
CPC-PROT	0.5625366308106935	0.1017810796207741	0.0666666666666666	103.28044279416402	5966.0	5454.0
KSEP	0.5566047580792342	0.100542611666813	0.0	73.34209108352661	5966.0	5732.0
BERT-PFAM	0.5563123141732426	0.0977445963946431	0.0666666666666666	112.57221738497417	5966.0	5470.0
SCGPT-HUMAN	0.5528453742360501	0.1038700253723505	0.1	107.67159088452657	5966.0	5776.0
FROGS-ARCHS4	0.5517237027310583	0.1092681802511638	0.1666666666666666	22.45662347475688	5966.0	3406.0
HMMER	0.5466458365760255	0.1055926033098116	0.0666666666666666	6138.094255050023	5966.0	5732.0
ESMB1	0.545607948903633	0.0961895055701547	0.0333333333333333	162.07465982437134	5966.0	5454.0
GF-12L30M	0.5443071399795992	0.099904438329212	0.1	115.34617296854655	5966.0	5944.0
BLAST	0.542922134784746	0.0983467833632716	0.0333333333333333	7616.791091521581	5966.0	5732.0
UNIREP	0.5426094901091185	0.0969589809030699	0.1	824.569432814916	5966.0	5732.0
ALBERT	0.5421867338726818	0.0982200778539389	0.0666666666666666	437.8651954332988	5966.0	5454.0
APAAC	0.5268237604951276	0.0962581727355587	0.1	18.35714197158813	5966.0	5732.0
GF-12L95M	0.5233773345337963	0.0913593113640778	0.0333333333333333	118.15616917610168	5966.0	5937.0
PFAM	0.5219807754761484	0.0960119871412992	0.0333333333333333	909.0449030399324	5966.0	5732.0
GF-12L95MCANCER	0.5182078376386743	0.0899787046726548	0.0333333333333333	115.52830235163373	5966.0	5937.0
GF-20L95M	0.5145767872699175	0.0907150142014238	0.0333333333333333	170.86965370178223	5966.0	5937.0
TCGA-EMBEDDING	0.5109940193416992	0.0909157695382656	0.2	12.71058432261149	5966.0	5723.0
PROTVEC	0.4863162317181007	0.0858908781681882	0.0	15.892042636871338	5966.0	5732.0
GF-6L30M	0.4721862492296785	0.0819222081742799	0.0333333333333333	71.29389611879985	5966.0	5944.0
