embedding	outer_AUC_average	outer_AUC_fold_0	outer_AUC_fold_1	outer_AUC_fold_2
GENEPT-MODEL3	0.8671176740835914	0.9072320570879648	0.8280527680685534	0.8660681970942556
BIOCONCEPTVEC-SKIP-GRAM	0.8565399979926274	0.8461644023603676	0.8397564550682152	0.8836991365492994
ESM2	0.855558653327499	0.8893005809432322	0.8020069906415606	0.8753683883977044
ESMB1	0.8408304998601958	0.8716893097296555	0.7469838764234975	0.903818313427434
T5	0.8333814031090556	0.90704908284159	0.7311309054008344	0.8619642210847422
PPI-RAW	0.8288171928168596	0.7626824024518548	0.7396098771000112	0.9841592988987126
ALBERT	0.8276008132316705	0.8937377064178217	0.7720374337580337	0.8170272995191561
BIOCONCEPTVEC-FASTTEXT	0.8082119580327772	0.8296052330634462	0.8177246589243433	0.7773059821105424
NODE2VEC	0.7989598259610449	0.8599789579616668	0.7100236779794792	0.8268768419419885
PFAM	0.7780694414051021	0.798408124056539	0.5843725335438043	0.951427666614963
MASHUP	0.7728686700318401	0.7936050500892	0.6582929304318412	0.8667080295744791
HMMER	0.771608392893652	0.8504185535885824	0.5981057616416733	0.8663008634507006
BIOCONCEPTVEC-GLOVE	0.7694402493383173	0.8077855541832486	0.7855902582027285	0.7149449356289747
BERT-BFD	0.7674331898221215	0.8819816110882392	0.6538955913857255	0.7664223669923996
GENEPT-ADA	0.7657623646900182	0.8775902291752435	0.6311647310858046	0.7885321338090067
BIOCONCEPTVEC-CBOW	0.7496589644445456	0.8236128264946709	0.7544706280302176	0.6708934388087482
SCGPT-PANCANCER	0.7341835368147963	0.7953890489913544	0.6625775171947231	0.7445840442583113
XLNET	0.7333358140462082	0.8242989799185764	0.5711805164054572	0.8045279458145909
BLAST	0.7332297982656271	0.8387082018205937	0.4637163152553839	0.8972648777209037
LEARNED-VEC	0.7325940231334399	0.7660216824481954	0.6049611004622844	0.8267992864898402
GF-6L30M	0.7318419251974936	0.7614015827272311	0.6513699402412899	0.7827542526239595
SEQVEC	0.7221572466640596	0.7982251498101642	0.5254256398692073	0.8428209503128071
AAC	0.7053345860994749	0.7594803531402955	0.6065621828842034	0.7499612222739258
CPC-PROT	0.7021886572949615	0.6416449384749097	0.6396211523283346	0.82529988108164
UNIREP	0.689492195187689	0.7173962764740862	0.5141729620024806	0.8369073470865002
GF-12L30M	0.6881665696114184	0.6881203970541147	0.6080956139361822	0.7682836978439584
BERT-PFAM	0.6830162039473286	0.7707332692923471	0.50745292592175	0.7708624166278888
PROTVEC	0.6795399636196576	0.7145144320936828	0.5689480211974292	0.755157437567861
KSEP	0.6729305168357925	0.7209185307168017	0.6073063479535461	0.6905666718370301
GF-12L95M	0.6709515213113958	0.6888065504780202	0.6177246589243433	0.7063233545318237
MUT2VEC	0.6431430837847141	0.7646493756003843	0.6734919382117487	0.4912879375420091
GF-12L95MCANCER	0.6359853900189291	0.6649284113261059	0.5814409741797271	0.661586784550954
TCGA-EMBEDDING	0.6296137219536417	0.6496958053154018	0.5474799864697261	0.6916653740757975
GF-20L95M	0.609632922345241	0.7479987191802753	0.5724658924343218	0.5084341554211261
SCGPT-HUMAN	0.5783962425469852	0.7863318237958007	0.3863795241853647	0.5624773796597902
GENE2VEC	0.5559297573639036	0.6654773340652302	0.4865035516969218	0.5158083863295589
APAAC	0.5167403536965525	0.5528109418599332	0.4290449881610102	0.5683651310687141
FROGS-ARCHS4	0.4996449458097118	0.5844654864827775	0.5119630172510994	0.4025063336952588
