embedding	outer_AUC	outer_AUPRC	outer_PR@10	outer_time	orig_pos_pairs	filtered_pos_pairs
GENEPT-MODEL3	0.8671176740835914	0.4981596633154503	0.7666666666666666	5.857361634572347	2124.0	734.0
BIOCONCEPTVEC-SKIP-GRAM	0.8565399979926274	0.4927333760834789	0.6666666666666666	0.5583983262379965	2124.0	734.0
ESM2	0.855558653327499	0.4004465866791087	0.5666666666666667	2.814244747161865	2124.0	734.0
ESMB1	0.8408304998601958	0.3790062086729715	0.5333333333333333	1.6527489026387532	2124.0	734.0
T5	0.8333814031090556	0.3192532883951341	0.4000000000000001	2.250884771347046	2124.0	734.0
PPI-RAW	0.8288171928168596	0.4010733074002705	0.2666666666666666	76.17234675089519	2124.0	734.0
ALBERT	0.8276008132316705	0.3378309133676923	0.4000000000000001	12.319088617960611	2124.0	734.0
BIOCONCEPTVEC-FASTTEXT	0.8082119580327772	0.3933679237315067	0.5666666666666667	0.4087312221527099	2124.0	734.0
NODE2VEC	0.7989598259610449	0.3076978940863156	0.4333333333333333	0.8811652660369873	2124.0	734.0
PFAM	0.7780694414051021	0.3238060545913397	0.4333333333333333	53.03594915072123	2124.0	734.0
MASHUP	0.7728686700318401	0.3225182195146533	0.6	1.918050765991211	2124.0	734.0
HMMER	0.771608392893652	0.2261517828340322	0.1666666666666666	117.9554792245229	2124.0	734.0
BIOCONCEPTVEC-GLOVE	0.7694402493383173	0.1909649416812801	0.2333333333333333	0.4319284756978352	2124.0	734.0
BERT-BFD	0.7674331898221215	0.222641416196469	0.3333333333333333	1.776426633199056	2124.0	734.0
GENEPT-ADA	0.7657623646900182	0.3581322702716203	0.5666666666666667	1.9462895393371584	2124.0	734.0
BIOCONCEPTVEC-CBOW	0.7496589644445456	0.2235909484657897	0.3333333333333333	0.3330051104227702	2124.0	734.0
SCGPT-PANCANCER	0.7341835368147963	0.2025149911343887	0.2333333333333333	2.9542521635691323	2124.0	734.0
XLNET	0.7333358140462082	0.2767668687123734	0.4666666666666666	2.320284048716227	2124.0	734.0
BLAST	0.7332297982656271	0.3095000657007823	0.3666666666666667	167.02274425824484	2124.0	734.0
LEARNED-VEC	0.7325940231334399	0.2303775110853172	0.3333333333333333	0.2131750583648681	2124.0	734.0
GF-6L30M	0.7318419251974936	0.2455521614441989	0.4333333333333333	0.6351816654205322	2124.0	734.0
SEQVEC	0.7221572466640596	0.269043716737604	0.4333333333333333	2.291278044382731	2124.0	734.0
AAC	0.7053345860994749	0.1612717309711566	0.1666666666666666	0.1256657441457112	2124.0	734.0
CPC-PROT	0.7021886572949615	0.2156763373220971	0.3	0.9858238697052002	2124.0	734.0
UNIREP	0.689492195187689	0.1934531391055531	0.2333333333333333	33.66528868675232	2124.0	734.0
GF-12L30M	0.6881665696114184	0.1868217120697227	0.2666666666666666	0.6840195655822754	2124.0	734.0
BERT-PFAM	0.6830162039473286	0.1801003603980937	0.2666666666666666	1.1890865961710613	2124.0	734.0
PROTVEC	0.6795399636196576	0.1676802678533323	0.2333333333333333	0.3071521123250325	2124.0	734.0
KSEP	0.6729305168357925	0.1599472609525482	0.2666666666666666	0.8564583460489908	2124.0	734.0
GF-12L95M	0.6709515213113958	0.1336899526982877	0.1333333333333333	1.0458807150522869	2124.0	734.0
MUT2VEC	0.6431430837847141	0.1693392754723446	0.3	0.626859982808431	2124.0	734.0
GF-12L95MCANCER	0.6359853900189291	0.1234378336569873	0.1333333333333333	1.2798165480295818	2124.0	734.0
TCGA-EMBEDDING	0.6296137219536417	0.1305991858364883	0.1333333333333333	0.2385416030883789	2124.0	734.0
GF-20L95M	0.609632922345241	0.1124695466026371	0.1333333333333333	3.9926467736562095	2124.0	734.0
SCGPT-HUMAN	0.5783962425469852	0.1312632906916457	0.1333333333333333	2.4239822228749595	2124.0	734.0
GENE2VEC	0.5559297573639036	0.0834470226562731	0.0333333333333333	0.7182517051696777	2124.0	734.0
APAAC	0.5167403536965525	0.0801023219427779	0.0333333333333333	0.6645456949869791	2124.0	734.0
FROGS-ARCHS4	0.4996449458097118	0.0674701552747189	0.0	1.6599291960398357	2124.0	734.0
