embedding	outer_AUC	outer_AUPRC	outer_PR@10	outer_time	orig_pos_pairs	filtered_pos_pairs
GENEPT-MODEL3	0.8592631678711479	0.3838562289097004	0.7666666666666666	55.261503060658775	2124.0	2092.0
GENEPT-ADA	0.7761457863327698	0.2915611423237325	0.7000000000000001	13.499897797902426	2124.0	2092.0
HMMER	0.7528372617417828	0.2599703241082923	0.1666666666666666	449.6815628210704	2124.0	2065.0
SCGPT-PANCANCER	0.7420998552536663	0.2409599297591717	0.3333333333333333	6.58412766456604	2124.0	2099.0
BLAST	0.7405097310737524	0.3095016460878446	0.3	700.245617389679	2124.0	2065.0
PPI-RAW	0.7308406280706237	0.355184331236483	0.3333333333333333	427.8344623247783	2124.0	2065.0
GF-12L95MCANCER	0.7195170053836989	0.1950191115054711	0.1333333333333333	4.538445790608724	2124.0	2073.0
ALBERT	0.7104064602607295	0.3249939435303996	0.5333333333333333	51.31738273302714	2124.0	1913.0
BERT-BFD	0.7082060657836129	0.2860147177416767	0.4333333333333333	11.75436822573344	2124.0	1913.0
ESM2	0.7079997178880602	0.1988504810546524	0.3666666666666667	15.281580924987791	2124.0	2055.0
MASHUP	0.6935457656076677	0.2662780690265826	0.3	4.143327474594116	2124.0	1886.0
PFAM	0.6889580671996484	0.2686007734377679	0.4333333333333333	143.71085659662882	2124.0	2065.0
BIOCONCEPTVEC-GLOVE	0.6861652282057088	0.191907240375733	0.3	1.7225638230641682	2124.0	1948.0
GF-12L95M	0.685775479302058	0.1566541963462307	0.0666666666666666	2.896607001622518	2124.0	2073.0
GF-20L95M	0.6845890549210757	0.1789108877146096	0.1999999999999999	9.914129416147867	2124.0	2073.0
T5	0.6813891009473627	0.2492507548356245	0.4666666666666666	12.521361192067465	2124.0	1913.0
KSEP	0.6700016776369851	0.2233712598673491	0.2666666666666666	3.018893321355184	2124.0	2054.0
GF-6L30M	0.6624002591267564	0.1954747346569711	0.2666666666666666	2.11777671178182	2124.0	2095.0
CPC-PROT	0.6546901165249688	0.186460596446093	0.2666666666666666	2.535206397374471	2124.0	1913.0
BIOCONCEPTVEC-SKIP-GRAM	0.6520528494066483	0.2110604277081451	0.6	1.4618080457051594	2124.0	1948.0
LEARNED-VEC	0.6488120992692924	0.2402630270931279	0.4666666666666666	0.5903410116831461	2124.0	2065.0
BIOCONCEPTVEC-CBOW	0.6487921991175457	0.18240201041097	0.4333333333333333	1.206611235936483	2124.0	1948.0
GF-12L30M	0.6447101620235519	0.1604399816819035	0.2	3.021426518758138	2124.0	2095.0
UNIREP	0.6431489510368533	0.2348400304177808	0.3333333333333333	92.7114147345225	2124.0	2065.0
ESMB1	0.6370584139822194	0.2846451020094398	0.5	7.454243024190267	2124.0	1913.0
BIOCONCEPTVEC-FASTTEXT	0.6146895043234406	0.212519645513046	0.6333333333333333	1.0455888112386067	2124.0	1948.0
AAC	0.6104377757152203	0.1406041343942459	0.0333333333333333	0.5440173943837484	2124.0	2065.0
PROTVEC	0.595533580559647	0.1190399063819441	0.0333333333333333	1.633334477742513	2124.0	2065.0
TCGA-EMBEDDING	0.5922903955336926	0.1368618346893879	0.2	0.849840005238851	2124.0	2048.0
BERT-PFAM	0.5792279717833223	0.2075452029617549	0.3333333333333333	5.88109278678894	2124.0	1913.0
SCGPT-HUMAN	0.5622226682207918	0.112760565342063	0.1	4.824356873830159	2124.0	2099.0
NODE2VEC	0.5609955124296113	0.1238611532266203	0.3	1.76288374265035	2124.0	2065.0
XLNET	0.5100482780593069	0.2147426242868247	0.4333333333333333	6.1547722816467285	2124.0	1913.0
MUT2VEC	0.4911518485798121	0.1111230541699784	0.3	2.3503061135609946	2124.0	1974.0
SEQVEC	0.4901485566862258	0.1307843307615104	0.3333333333333333	9.246293465296429	2124.0	2065.0
FROGS-ARCHS4	0.4869043769007566	0.0576676861508067	0.0666666666666666	0.941791296005249	2124.0	982.0
APAAC	0.4765635149253335	0.0859031362757972	0.0666666666666666	2.347177823384603	2124.0	2065.0
GENE2VEC	0.3830513374030548	0.0695633776728807	0.0	1.929960568745931	2124.0	2028.0
