embedding	outer_AUC_average	outer_AUC_fold_0	outer_AUC_fold_1	outer_AUC_fold_2
GENEPT-MODEL3	0.8426683893253064	0.90457893051553	0.7685195625211411	0.8549066749392482
ESMB1	0.8224818517591811	0.8925026302547917	0.7001691284248506	0.8747737965979008
BIOCONCEPTVEC-SKIP-GRAM	0.805791251974549	0.7898540780385159	0.7729620024805502	0.8545576754045809
GENEPT-ADA	0.8043980977794242	0.8796486894469604	0.6184688239936859	0.9150767798976268
ALBERT	0.8037797808742461	0.8455697360596496	0.7176231818694329	0.8481464246936559
ESM2	0.7766381171000152	0.7512922556150221	0.6954335325290337	0.8831885631559899
BERT-PFAM	0.7748811665399176	0.8140066785599928	0.622911263953095	0.8877255571066647
T5	0.761934973412376	0.8442431727734321	0.6444920509640321	0.7970696964996639
XLNET	0.7477037721329016	0.767165271488038	0.5866952305784192	0.8892508143322476
MASHUP	0.7252402512032274	0.8369699464800329	0.5740669748562408	0.7646838322734089
BIOCONCEPTVEC-FASTTEXT	0.7174385262691287	0.7303417044051048	0.7358214003833579	0.6861524740189235
PPI-RAW	0.7141941456961393	0.7470152326060105	0.6630398015559814	0.7325274029264257
PROTVEC	0.7094467644215469	0.6271442294497049	0.6317735934152666	0.8694224703996691
BERT-BFD	0.7023509887853728	0.8138694478752115	0.7201262825572218	0.5730572359236855
KSEP	0.6945813095817951	0.6633731302319199	0.5377832901116247	0.8825875084018405
TCGA-EMBEDDING	0.6853184505955348	0.5982800420840766	0.783763671214342	0.6739116384881857
NODE2VEC	0.6844715725910734	0.7657014775170394	0.6323373548314354	0.6553758854247453
BIOCONCEPTVEC-CBOW	0.677130101592924	0.576460363203879	0.6571428571428573	0.7977870844320356
LEARNED-VEC	0.6713708030253865	0.655733955445771	0.6826248731536813	0.6757535804767075
CPC-PROT	0.6700954527331767	0.6638305658478569	0.5319878227534107	0.8144679695982627
GF-12L30M	0.6648938816241526	0.7336352408398518	0.5553951967527343	0.7056512072798719
UNIREP	0.6622443659675761	0.7444307213759663	0.4004961100462284	0.8418062664805336
GF-6L30M	0.6583188340137375	0.6152509034353415	0.591182771451122	0.7685228271547491
APAAC	0.6515979410637066	0.6376652486162573	0.487653624985906	0.8294749495889563
SEQVEC	0.6495433024840875	0.7675769635423815	0.5381440974179726	0.6429088464919084
GF-12L95MCANCER	0.6473179336913327	0.7211929920863638	0.5706393054459353	0.650121503541699
AAC	0.6240122093701057	0.6365674031380083	0.5877325515841696	0.6477366733881391
GF-12L95M	0.6216060001108689	0.7040391564887243	0.5453827940015785	0.6153960498423039
GF-20L95M	0.5963007362793444	0.6756781483006267	0.514218062915774	0.5990059976216328
BIOCONCEPTVEC-GLOVE	0.5761925186690179	0.5389963862586341	0.4389671890855789	0.7506139806628406
HMMER	0.5449231977238742	0.6308952015003887	0.5016123576502424	0.5022620340209916
SCGPT-PANCANCER	0.5442380739267175	0.5978683500297333	0.4898184688239937	0.5450274029264257
BLAST	0.5293608707151133	0.592173276611317	0.4977900552486188	0.4981192802854041
SCGPT-HUMAN	0.528811090116871	0.5982342985224829	0.4660051866050287	0.5221937852231012
GENE2VEC	0.5187193445844877	0.5792049768995013	0.4212876310745292	0.5556654257794322
MUT2VEC	0.4946444356846421	0.5040483052010429	0.564866388544368	0.4150186133085156
FROGS-ARCHS4	0.4914346500852078	0.559992681030145	0.4284586762881948	0.4858525929372835
PFAM	0.4844635960529388	0.4542564384062943	0.4977900552486188	0.5013442945039036
