embedding	outer_AUC_average	outer_AUC_fold_0	outer_AUC_fold_1	outer_AUC_fold_2
ESM2	0.9011339100401664	0.8948355518960706	0.8794001578531965	0.929166020371232
GENEPT-MODEL3	0.8982182718057546	0.9193998444718906	0.8307588228661631	0.94449614807921
ESMB1	0.8829997352428008	0.9038012899684368	0.8071259443003721	0.9380719714595936
ALBERT	0.8808378933721261	0.8893920680664197	0.8487991881835607	0.9043224238663978
T5	0.8726431919797406	0.9004620099720964	0.8293606945540648	0.8881068714130604
BIOCONCEPTVEC-SKIP-GRAM	0.862799255843837	0.8553588582407025	0.8453715187732551	0.8876673905175535
BERT-BFD	0.8540553641872063	0.8737477700013723	0.7891757808095614	0.8992425417506851
PPI-RAW	0.8497662998213523	0.8010155070673802	0.7624760401398128	0.9858073522568636
MASHUP	0.8145044386348775	0.7966698687159782	0.6750930206336678	0.9717504265549868
GENEPT-ADA	0.8115514053602105	0.8902611957367	0.5999097981734131	0.9444832221705184
NODE2VEC	0.8017765854231559	0.8192214445816751	0.7218626677190213	0.864245643968771
BIOCONCEPTVEC-FASTTEXT	0.7984794229910643	0.8549014226247654	0.81400383357763	0.7265330127707977
PFAM	0.7911928858225007	0.8111248341795891	0.6024918254594656	0.9599619978284474
XLNET	0.7662271114868289	0.8152874982846164	0.5785996166422369	0.9047942195336331
BIOCONCEPTVEC-GLOVE	0.7614932018597281	0.7526188189012397	0.781531176006314	0.7503296106716303
BERT-PFAM	0.7561803787171435	0.6749005077535337	0.6844063592287744	0.9092342691691224
GF-6L30M	0.7557475874549623	0.7691779881981611	0.6411545833803134	0.8569101907864124
SCGPT-PANCANCER	0.7542907184174815	0.8114907826723389	0.7229676400947119	0.7284137324853938
BLAST	0.7468459021505951	0.8412240977082476	0.4702897733679106	0.9290238353756268
HMMER	0.7440850424035138	0.8453410182516811	0.5824895704138009	0.8044245385450598
BIOCONCEPTVEC-CBOW	0.7358267000777564	0.7849137733863958	0.7208704476265644	0.7016958792203091
CPC-PROT	0.7334140171672853	0.7220163761950505	0.5758033600180403	0.9024223152887648
GF-12L95M	0.7121718153373232	0.7174420200356799	0.7019957154132371	0.7170777105630526
GF-12L30M	0.7062730683342903	0.6818535291157769	0.6489570413800879	0.7880086345070059
SEQVEC	0.7042484338876861	0.8262202095055121	0.5100011275228323	0.7765239646347137
UNIREP	0.6935772349610324	0.7473125657563697	0.4478069680911038	0.8856121710356237
GF-12L95MCANCER	0.6869418943131227	0.710763460042999	0.6508287292817678	0.6992334936146011
TCGA-EMBEDDING	0.6846790131328419	0.6559169296921458	0.6718908557898298	0.7262292539165502
LEARNED-VEC	0.6745525362560271	0.5973194272906088	0.5704814522494079	0.8558567292280647
PROTVEC	0.6648130584013611	0.6226613604135218	0.5726011951742023	0.799176619616359
GF-20L95M	0.6577745386810685	0.8056813503499382	0.6737174427782162	0.4939248229150509
KSEP	0.6422504632751176	0.6186816705548694	0.5067538617657007	0.8013158575047825
MUT2VEC	0.6130298886692981	0.7361968802890994	0.6248280527680685	0.4780647329507264
APAAC	0.603738235901761	0.6040437308448835	0.5189762092682377	0.6881947675921617
AAC	0.5824902705479554	0.599011939069576	0.5302514375916112	0.6182074349826793
SCGPT-HUMAN	0.5690940185524275	0.7431956452129362	0.3719246814747999	0.5921617289695466
GENE2VEC	0.5409980947892662	0.6613146699602032	0.4728605254256398	0.4888190889819554
FROGS-ARCHS4	0.4373803415265692	0.5353369013311376	0.5456759499379863	0.2311281733105837
