embedding	outer_AUC	outer_AUPRC	outer_PR@10	outer_time	orig_pos_pairs	filtered_pos_pairs
ESM2	0.9011339100401664	0.4293772495900828	0.5666666666666667	0.7794516881306967	2124.0	734.0
GENEPT-MODEL3	0.8982182718057546	0.5330657117731598	0.7000000000000001	3.08552352587382	2124.0	734.0
ESMB1	0.8829997352428008	0.4101343718820338	0.4666666666666666	1.3036025365193684	2124.0	734.0
ALBERT	0.8808378933721261	0.4509355044501217	0.5333333333333333	10.255516529083252	2124.0	734.0
T5	0.8726431919797406	0.3620167238445154	0.4000000000000001	0.8892631530761719	2124.0	734.0
BIOCONCEPTVEC-SKIP-GRAM	0.862799255843837	0.4672058061154701	0.7333333333333333	0.2051505247751871	2124.0	734.0
BERT-BFD	0.8540553641872063	0.3395737517209933	0.5333333333333333	0.8339221477508545	2124.0	734.0
PPI-RAW	0.8497662998213523	0.406315069374592	0.2666666666666666	26.69939374923706	2124.0	734.0
MASHUP	0.8145044386348775	0.3858150161428764	0.6	0.658055861790975	2124.0	734.0
GENEPT-ADA	0.8115514053602105	0.4550072055877165	0.6666666666666666	0.6216306686401367	2124.0	734.0
NODE2VEC	0.8017765854231559	0.2535167923665218	0.2333333333333333	0.1983598868052164	2124.0	734.0
BIOCONCEPTVEC-FASTTEXT	0.7984794229910643	0.3194717903934325	0.4333333333333333	0.1907397111256917	2124.0	734.0
PFAM	0.7911928858225007	0.3469303521779454	0.4000000000000001	10.478390455245972	2124.0	734.0
XLNET	0.7662271114868289	0.3334132951741063	0.4666666666666666	0.6648461023966471	2124.0	734.0
BIOCONCEPTVEC-GLOVE	0.7614932018597281	0.2087222116304175	0.3	0.2800902525583903	2124.0	734.0
BERT-PFAM	0.7561803787171435	0.2817848823294654	0.3666666666666667	0.643601655960083	2124.0	734.0
GF-6L30M	0.7557475874549623	0.2580547304442004	0.3333333333333333	0.381900946299235	2124.0	734.0
SCGPT-PANCANCER	0.7542907184174815	0.178501541934143	0.1	0.5175228118896484	2124.0	734.0
BLAST	0.7468459021505951	0.3678434032871747	0.4333333333333333	68.57529067993164	2124.0	734.0
HMMER	0.7440850424035138	0.1644023710619938	0.1	38.58134833971659	2124.0	734.0
BIOCONCEPTVEC-CBOW	0.7358267000777564	0.1928354803764811	0.2666666666666666	0.210148016611735	2124.0	734.0
CPC-PROT	0.7334140171672853	0.2452586122355096	0.2333333333333333	0.3812603155771891	2124.0	734.0
GF-12L95M	0.7121718153373232	0.1344012928298215	0.0	0.5237470467885336	2124.0	734.0
GF-12L30M	0.7062730683342903	0.1965542604893242	0.2666666666666666	0.5270965099334717	2124.0	734.0
SEQVEC	0.7042484338876861	0.2246634060074287	0.3666666666666667	0.4852724075317383	2124.0	734.0
UNIREP	0.6935772349610324	0.2589364383390732	0.3	6.304397265116374	2124.0	734.0
GF-12L95MCANCER	0.6869418943131227	0.1348307668803574	0.1999999999999999	0.586314837137858	2124.0	734.0
TCGA-EMBEDDING	0.6846790131328419	0.1575654893575794	0.2333333333333333	0.2340203921000162	2124.0	734.0
LEARNED-VEC	0.6745525362560271	0.222384913820557	0.3	0.1543737252553304	2124.0	734.0
PROTVEC	0.6648130584013611	0.185553773129048	0.2666666666666666	0.1534132957458496	2124.0	734.0
GF-20L95M	0.6577745386810685	0.1277539875540926	0.1666666666666666	1.077897548675537	2124.0	734.0
KSEP	0.6422504632751176	0.2479864952617592	0.4000000000000001	0.3718800544738769	2124.0	734.0
MUT2VEC	0.6130298886692981	0.1368413771514108	0.3	0.3605142434438069	2124.0	734.0
APAAC	0.603738235901761	0.109157140801672	0.0666666666666666	0.412164847056071	2124.0	734.0
AAC	0.5824902705479554	0.1163797978246608	0.2666666666666666	0.1657419999440511	2124.0	734.0
SCGPT-HUMAN	0.5690940185524275	0.1211745709990108	0.2	0.9759360949198403	2124.0	734.0
GENE2VEC	0.5409980947892662	0.0827950942525016	0.1333333333333333	0.5844858487447103	2124.0	734.0
FROGS-ARCHS4	0.4373803415265692	0.0592003486122024	0.0	0.333432674407959	2124.0	734.0
