embedding	outer_AUC_average	outer_AUC_fold_0	outer_AUC_fold_1	outer_AUC_fold_2
ESM2	0.810609500370192	0.803431019552436	0.8523783685224524	0.7760191130356876
ALBERT	0.8088114175130509	0.7976066724397246	0.8373539949956834	0.7914735851037444
GENEPT-MODEL3	0.8000138691429584	0.8113409598468619	0.8005347017950076	0.7881659457870052
T5	0.7971971472772378	0.8168914817009252	0.8041128541520671	0.7705871059787212
ESMB1	0.7940195937897684	0.7886327879312702	0.8285456945960847	0.7648802988419499
HMMER	0.7916027970581192	0.8194930039651793	0.8200875645585415	0.735227822650637
XLNET	0.7879999094762624	0.7637952691308509	0.835603143185408	0.7646013161125282
PFAM	0.7839486806278444	0.8026817373866278	0.842247373173084	0.7069169313238212
SEQVEC	0.7790234735225893	0.7582451118909804	0.8123798623483381	0.7664454463284492
BERT-BFD	0.7689736867326001	0.7449057016544369	0.8144294793357747	0.7475858792075887
BIOCONCEPTVEC-CBOW	0.7653573515716204	0.7455105965999727	0.8278159167148132	0.7227455414000751
BIOCONCEPTVEC-FASTTEXT	0.7629668172153025	0.7743096486030718	0.7834870729140808	0.7311037301287544
GENEPT-ADA	0.7526693296062695	0.796660863224101	0.7556935635875546	0.7056535620071532
BIOCONCEPTVEC-SKIP-GRAM	0.7430246748345405	0.7549876486942254	0.7446770370402915	0.7294093387691047
BERT-PFAM	0.736464959068862	0.7262633426006108	0.7759977328995381	0.7071338017064374
KSEP	0.731346668056402	0.745014356683834	0.7077246175915572	0.7413010298938151
BIOCONCEPTVEC-GLOVE	0.7306362973052544	0.7290836333804293	0.7549005177864138	0.7079247407489201
UNIREP	0.7225031431825871	0.7227615878948088	0.6967876153046856	0.7479602263482666
NODE2VEC	0.7203117971813374	0.7039959892438814	0.7011078476385469	0.7558315546615839
MASHUP	0.7006741079046338	0.7375751333120641	0.6666281493913758	0.6978190410104612
PPI-RAW	0.6832327307560252	0.6965895811494464	0.7204410301247564	0.6326675809938729
MUT2VEC	0.6832220768632243	0.6546261337222552	0.7614711548811859	0.6335689419862316
LEARNED-VEC	0.6676672478674112	0.6637104963310696	0.688741166106848	0.6505500811643159
PROTVEC	0.6591361152589202	0.6554031265667016	0.7005454661285965	0.6214597530814625
AAC	0.6542797305389443	0.6041711863634293	0.7037725694024916	0.654895435850912
SCGPT-HUMAN	0.6310179025265218	0.604106285037145	0.6563137210104414	0.6326337015319791
APAAC	0.6291872879385408	0.6078942618841439	0.6759012932577927	0.603766308673686
BLAST	0.6266561073327827	0.6497505127387083	0.6413350409813559	0.5888827682782835
CPC-PROT	0.6203197862093558	0.6280556036643726	0.6681799708703952	0.5647237840932998
SCGPT-PANCANCER	0.5957904590820137	0.5849224739072969	0.6317552234477941	0.57069367989095
GF-12L30M	0.5951627509613696	0.6492407820974432	0.5573235912453016	0.578923879541364
GF-6L30M	0.5688626276758543	0.5816205277790438	0.5581526646119238	0.5668146906365952
GF-20L95M	0.5626537343238723	0.5478495966455494	0.5743931881539608	0.5657184181721069
FROGS-ARCHS4	0.5520617692175659	0.5624636980994485	0.5450663104917104	0.5486552990615389
GF-12L95M	0.5378635139554312	0.5453818877899822	0.548680490414251	0.5195281636620603
GENE2VEC	0.5308513572217368	0.5681061027300488	0.4847196989501479	0.5397282699850136
GF-12L95MCANCER	0.5142671099590705	0.4640674536256323	0.5738822118289042	0.5048516644226752
TCGA-EMBEDDING	0.5073577464465248	0.4616394877170594	0.5201470979136964	0.5402866537088182
