embedding	outer_AUC	outer_AUPRC	outer_PR@10	outer_time	orig_pos_pairs	filtered_pos_pairs
GENEPT-MODEL3	0.8163039365939292	0.3526358201054764	0.5666666666666665	921.812340815862	10000.0	9772.0
PFAM	0.8147169481997483	0.3604320371402087	0.5333333333333333	5360.779836177826	10000.0	9849.0
ESMB1	0.8124474902110247	0.3688398396001812	0.6333333333333333	290.72919193903607	10000.0	9449.0
T5	0.8119584461920284	0.348986968371926	0.3666666666666667	350.8588283061981	10000.0	9449.0
ESM2	0.806043126092406	0.3565196295932137	0.6666666666666666	352.8366932868957	10000.0	9844.0
ALBERT	0.8015885943144568	0.368327004425714	0.3999999999999999	1226.9941307703657	10000.0	9449.0
XLNET	0.7909165504196328	0.3303849365297678	0.4666666666666666	387.1728316942851	10000.0	9449.0
BERT-BFD	0.788588561361066	0.3280964949746002	0.4333333333333333	324.6531780560811	10000.0	9449.0
SEQVEC	0.7870219130516931	0.3310544585036766	0.4333333333333333	315.7908519903819	10000.0	9849.0
GENEPT-ADA	0.7805349454859614	0.3124139542361764	0.6666666666666666	511.4045456250509	10000.0	9772.0
HMMER	0.7679791761526463	0.3301173025686592	0.4333333333333334	12397.777954498926	10000.0	9849.0
BIOCONCEPTVEC-FASTTEXT	0.7614230227850286	0.2680665957057792	0.3666666666666667	47.11213541030884	10000.0	9202.0
BERT-PFAM	0.7502750284773377	0.2473932171096098	0.4666666666666667	300.9592089653015	10000.0	9449.0
BIOCONCEPTVEC-CBOW	0.7483650426352856	0.25496755707547	0.3999999999999999	49.52744158109029	10000.0	9202.0
UNIREP	0.7441368144992389	0.2625945095684767	0.3666666666666667	3829.4764717419935	10000.0	9849.0
BIOCONCEPTVEC-SKIP-GRAM	0.7422387511762517	0.2462874557625215	0.4333333333333333	38.276278813680015	10000.0	9202.0
BIOCONCEPTVEC-GLOVE	0.7346868443989137	0.2434355976354476	0.4666666666666667	44.29494261741638	10000.0	9202.0
KSEP	0.7314397559031073	0.2665069900985338	0.3	143.01713871955872	10000.0	9811.0
NODE2VEC	0.7212939816207337	0.2043588162219071	0.3	87.5240691502889	10000.0	9804.0
MUT2VEC	0.7046277780638035	0.2494352674218104	0.6333333333333333	137.46698594093323	10000.0	8973.0
MASHUP	0.6993604726885553	0.2336637279585668	0.5666666666666668	214.1916980743408	10000.0	8203.0
LEARNED-VEC	0.6989932364939486	0.2137760553776429	0.5333333333333333	19.829094250996903	10000.0	9849.0
BLAST	0.682212237082333	0.2824612775195528	0.5	14441.080577373505	10000.0	9849.0
PROTVEC	0.6695244532126239	0.1763407752175438	0.2	42.08480874697367	10000.0	9849.0
SCGPT-HUMAN	0.6665415903955377	0.1955807916445746	0.7999999999999999	328.3915915489197	10000.0	9780.0
AAC	0.6659896982885036	0.1672434652540243	0.0999999999999999	23.362191200256348	10000.0	9849.0
PPI-RAW	0.6646347445689406	0.1843494489023303	0.1666666666666666	14278.047483762106	10000.0	9804.0
APAAC	0.6555420224186976	0.1636031974187573	0.0999999999999999	132.82784342765808	10000.0	9844.0
CPC-PROT	0.6517702992178543	0.1665824291455123	0.2666666666666666	152.14191460609436	10000.0	9449.0
SCGPT-PANCANCER	0.6197408510175363	0.1622461011260544	0.6333333333333333	263.96645307540894	10000.0	9780.0
GF-6L30M	0.6040569837224455	0.1418518598506203	0.5	115.80403717358908	10000.0	9909.0
GF-12L95MCANCER	0.5847896922942923	0.1333487084237715	0.2666666666666666	181.65033181508383	10000.0	9887.0
GF-20L95M	0.5832834247813333	0.128143964437984	0.1999999999999999	486.429981470108	10000.0	9887.0
GF-12L30M	0.5802662424012276	0.1355443293772385	0.4333333333333333	236.70111521085104	10000.0	9909.0
GF-12L95M	0.5584389684765859	0.1154906449184505	0.2666666666666666	185.0176675319672	10000.0	9887.0
GENE2VEC	0.5415104283631024	0.1064756660406994	0.1333333333333333	131.56788595517477	10000.0	9122.0
FROGS-ARCHS4	0.5391112240659567	0.115482511171996	0.0666666666666666	106.66022968292236	10000.0	7707.0
TCGA-EMBEDDING	0.4960447443467088	0.0939254520402672	0.0333333333333333	22.23601539929708	10000.0	9748.0
