embedding	outer_AUC_average	outer_AUC_fold_0	outer_AUC_fold_1	outer_AUC_fold_2
ESMB1	0.8404905839292885	0.8054010300350942	0.890801327747596	0.8252693940051756
ESM2	0.8373367218164423	0.807696276377558	0.8728859617712382	0.8314279273005305
ALBERT	0.8256583481995428	0.805154915455084	0.8855606350517458	0.7862594940917983
XLNET	0.8229126436935608	0.787856524315209	0.8712651606851389	0.8096162460803344
T5	0.8041686736583649	0.8007401668109931	0.8231749511760584	0.7885909029880431
SEQVEC	0.8008887009299525	0.7739191468027894	0.8431403735004075	0.7856065824866605
GENEPT-MODEL3	0.7977235010297207	0.7912044118317306	0.7863824589692163	0.8155836322882147
GENEPT-ADA	0.778322819196578	0.8131921061027301	0.767279062053088	0.7544972894339159
BERT-BFD	0.7691017248099025	0.740684927760813	0.8147822858611578	0.7518379608077366
BERT-PFAM	0.7378424345904305	0.7169452622943349	0.7887585208487566	0.7078235206282004
KSEP	0.7349165424720736	0.7563513057745773	0.7409029298758587	0.707495391765785
UNIREP	0.7344470168899138	0.749753976573538	0.7447526070556911	0.7088344670405118
BIOCONCEPTVEC-SKIP-GRAM	0.7042109392490481	0.729019825896723	0.715813245402641	0.6677997464477803
BIOCONCEPTVEC-CBOW	0.6974740512145727	0.6906529328654117	0.6807803922171671	0.7209888285611393
BIOCONCEPTVEC-FASTTEXT	0.6896302613172249	0.6854498883369033	0.7188843756796359	0.6645565199351355
PROTVEC	0.6703731438360476	0.6614407729820883	0.715018881519836	0.6346597770062185
MUT2VEC	0.6598747420261496	0.6273114260972609	0.7075427223219326	0.6447700776592554
APAAC	0.6507936712417458	0.6448993209060663	0.6776499482652947	0.6298317445538765
AAC	0.6475992258234099	0.6030372362244201	0.6968667002045223	0.6428937410412874
LEARNED-VEC	0.6402950137811397	0.6348706075383984	0.6870272205831632	0.5989872132218574
NODE2VEC	0.6307060822019938	0.6075238138644546	0.6249161370541314	0.6596782956873954
CPC-PROT	0.6302991036108857	0.634407547513787	0.6563510666575866	0.6001386966612836
BIOCONCEPTVEC-GLOVE	0.6301484346976051	0.5849833644774622	0.6668315733281782	0.6386303662871748
GF-12L30M	0.5474088064136342	0.555649423453808	0.5391204441056486	0.547456551681446
GF-6L30M	0.5464192295908488	0.557621257007429	0.5383708949994178	0.5432655367656992
SCGPT-HUMAN	0.5441796918169399	0.541141060115765	0.544445054667437	0.5469529606676178
GF-20L95M	0.5322901231544306	0.5449702383665285	0.5430975358463292	0.508802595250434
SCGPT-PANCANCER	0.5308396203104266	0.5308611275693906	0.5373111573416051	0.5243465760202841
PPI-RAW	0.5274917291048288	0.5364059979034683	0.531321794260633	0.5147473951503851
FROGS-ARCHS4	0.5226111260620868	0.5418039287179253	0.5045730843330617	0.5214563651352732
HMMER	0.5189014988724759	0.5029796271819881	0.5326539354623282	0.5210709339731114
MASHUP	0.5140836083827516	0.5024131990337724	0.5337382773112013	0.5060993488032812
PFAM	0.5047399139341596	0.5014338453124288	0.5068199742095355	0.5059659222805144
BLAST	0.5008757279474048	0.4988388861036415	0.4996443376310118	0.504143960107561
GENE2VEC	0.4990900879090225	0.5064162982544095	0.4621269005089991	0.528727064963659
TCGA-EMBEDDING	0.4938556783851487	0.4739233398660042	0.4923843438259956	0.5152593514634464
GF-12L95M	0.4867237985049397	0.5023617884326147	0.498649625335287	0.4591599817469171
GF-12L95MCANCER	0.4780711590960994	0.488923203135682	0.4947854492571511	0.4505048248954651
