embedding	outer_AUC	outer_AUPRC	outer_PR@10	outer_time	orig_pos_pairs	filtered_pos_pairs
ESMB1	0.8404905839292885	0.3635666051534958	0.4666666666666666	123.16036009788512	10000.0	4826.0
ESM2	0.8373367218164423	0.3513776086671523	0.5666666666666668	137.6619482835134	10000.0	4826.0
ALBERT	0.8256583481995428	0.3965244200130802	0.6333333333333333	235.02843491236368	10000.0	4826.0
XLNET	0.8229126436935608	0.3674480470815031	0.6	108.417582432429	10000.0	4826.0
T5	0.8041686736583649	0.3385697423016265	0.4333333333333333	47.434086640675865	10000.0	4826.0
SEQVEC	0.8008887009299525	0.3284954926251389	0.3999999999999999	76.17760348320007	10000.0	4826.0
GENEPT-MODEL3	0.7977235010297207	0.3258109140721359	0.5666666666666668	135.07762241363525	10000.0	4826.0
GENEPT-ADA	0.778322819196578	0.2940031373988409	0.5666666666666667	75.23314984639485	10000.0	4826.0
BERT-BFD	0.7691017248099025	0.3020258001172762	0.4666666666666667	82.5080897808075	10000.0	4826.0
BERT-PFAM	0.7378424345904305	0.2487238208558556	0.4000000000000001	72.20835041999817	10000.0	4826.0
KSEP	0.7349165424720736	0.2683626183075282	0.1666666666666666	28.629658460617065	10000.0	4826.0
UNIREP	0.7344470168899138	0.2828423257068004	0.5666666666666667	433.15755836168927	10000.0	4826.0
BIOCONCEPTVEC-SKIP-GRAM	0.7042109392490481	0.2301428760670648	0.5	9.469055811564129	10000.0	4826.0
BIOCONCEPTVEC-CBOW	0.6974740512145727	0.2189706805046425	0.4000000000000001	17.798863569895428	10000.0	4826.0
BIOCONCEPTVEC-FASTTEXT	0.6896302613172249	0.208684965108588	0.3666666666666667	9.370160261789955	10000.0	4826.0
PROTVEC	0.6703731438360476	0.1941043470182006	0.2	14.086464881896973	10000.0	4826.0
MUT2VEC	0.6598747420261496	0.1912822869996222	0.3666666666666667	34.975712299346924	10000.0	4826.0
APAAC	0.6507936712417458	0.1787726170755884	0.3	14.820475419362388	10000.0	4826.0
AAC	0.6475992258234099	0.1748665770205173	0.2333333333333333	7.307536363601685	10000.0	4826.0
LEARNED-VEC	0.6402950137811397	0.177649495568464	0.2333333333333333	9.497602065404257	10000.0	4826.0
NODE2VEC	0.6307060822019938	0.1682639423793054	0.1666666666666666	13.997944672902426	10000.0	4826.0
CPC-PROT	0.6302991036108857	0.1733138162985067	0.3999999999999999	24.022869030634563	10000.0	4826.0
BIOCONCEPTVEC-GLOVE	0.6301484346976051	0.1777345958304801	0.4333333333333333	13.762506246566772	10000.0	4826.0
GF-12L30M	0.5474088064136342	0.1325940773331837	0.1	37.44682693481445	10000.0	4826.0
GF-6L30M	0.5464192295908488	0.1287027899267484	0.1666666666666666	29.30445059140523	10000.0	4826.0
SCGPT-HUMAN	0.5441796918169399	0.1297184165769276	0.3333333333333333	99.77880907058716	10000.0	4826.0
GF-20L95M	0.5322901231544306	0.1173601653246145	0.0333333333333333	109.6762768427531	10000.0	4826.0
SCGPT-PANCANCER	0.5308396203104266	0.1239707643468806	0.1666666666666666	76.77912775675456	10000.0	4826.0
PPI-RAW	0.5274917291048288	0.1216965226407346	0.2333333333333333	2274.4097107251487	10000.0	4826.0
FROGS-ARCHS4	0.5226111260620868	0.1168853791324696	0.2	55.03973642985026	10000.0	4826.0
HMMER	0.5189014988724759	0.1182598975311024	0.2666666666666666	4013.715333938599	10000.0	4826.0
MASHUP	0.5140836083827516	0.1221349924973543	0.2333333333333333	184.457082827886	10000.0	4826.0
PFAM	0.5047399139341596	0.1132182466223538	0.4333333333333333	1101.086845080058	10000.0	4826.0
BLAST	0.5008757279474048	0.1085914820724178	0.0333333333333333	5452.128689050674	10000.0	4826.0
GENE2VEC	0.4990900879090225	0.1122016772082552	0.1333333333333333	30.92551859219869	10000.0	4826.0
TCGA-EMBEDDING	0.4938556783851487	0.1073946580047433	0.1666666666666666	8.536583264668783	10000.0	4826.0
GF-12L95M	0.4867237985049397	0.1139182859212246	0.3666666666666667	26.756939967473347	10000.0	4826.0
GF-12L95MCANCER	0.4780711590960994	0.1079971810083342	0.1	33.088706254959106	10000.0	4826.0
