embedding	outer_AUC	outer_AUPRC	outer_PR@10	outer_time	orig_pos_pairs	filtered_pos_pairs
ESMB1	0.8617886997240655	0.3629407412112773	0.4666666666666666	731.4069751898447	10000.0	9449.0
ESM2	0.8591937444800788	0.3468585982881619	0.5333333333333333	574.4885198275248	10000.0	9844.0
XLNET	0.8446241863591073	0.34167852879182	0.4666666666666666	325.1710272630056	10000.0	9449.0
ALBERT	0.8385468692633692	0.3811422057151957	0.4666666666666666	890.0635137557983	10000.0	9449.0
T5	0.8338776427292441	0.3355470107930256	0.2666666666666666	184.09136899312335	10000.0	9449.0
SEQVEC	0.8142990514716754	0.3097165217177855	0.4666666666666666	443.4428119659424	10000.0	9849.0
GENEPT-MODEL3	0.8106494939049543	0.3219827116538853	0.5666666666666665	633.1101009845734	10000.0	9772.0
BERT-BFD	0.8024076566735818	0.3043701214517962	0.3666666666666667	244.3633291721344	10000.0	9449.0
GENEPT-ADA	0.799765734272337	0.2880847627529828	0.6000000000000001	437.45554065704346	10000.0	9772.0
UNIREP	0.7544583615060797	0.2770517181575389	0.4666666666666666	2392.9525159200034	10000.0	9849.0
KSEP	0.7492152647548624	0.2637824959713477	0.3999999999999999	251.99683968226117	10000.0	9811.0
BERT-PFAM	0.7460846361915362	0.2245788747527058	0.2666666666666666	298.2033924261729	10000.0	9449.0
BIOCONCEPTVEC-SKIP-GRAM	0.7350388578844855	0.2344497707509365	0.4333333333333333	35.17227745056152	10000.0	9202.0
BIOCONCEPTVEC-FASTTEXT	0.7334802566809545	0.2318236975880196	0.4000000000000001	63.84261393547058	10000.0	9202.0
BIOCONCEPTVEC-CBOW	0.7171012489551348	0.2218354860095171	0.4333333333333333	46.4419793287913	10000.0	9202.0
NODE2VEC	0.679800572844203	0.1774810181296421	0.3	70.99555667241414	10000.0	9804.0
PROTVEC	0.6767021180691652	0.1697795757485728	0.0666666666666666	106.07216024398804	10000.0	9849.0
MUT2VEC	0.6655149549780881	0.175791645946825	0.3333333333333333	85.3253382841746	10000.0	8973.0
APAAC	0.663804391445188	0.1698338611776829	0.4000000000000001	51.480512380599976	10000.0	9844.0
LEARNED-VEC	0.6625932518980833	0.1678703831966128	0.3	76.76351157824199	10000.0	9849.0
AAC	0.6623456061411916	0.1636371915689841	0.1666666666666666	18.069446961085003	10000.0	9849.0
CPC-PROT	0.6464206043818558	0.1611650998938234	0.3	131.73445582389832	10000.0	9449.0
BIOCONCEPTVEC-GLOVE	0.6290723369413845	0.1653473844890216	0.3666666666666667	47.648523489634194	10000.0	9202.0
GF-6L30M	0.5606827072674702	0.1162754065376221	0.1999999999999999	107.41484236717224	10000.0	9909.0
GF-20L95M	0.5537405092190077	0.1101526544740138	0.1	467.96108905474347	10000.0	9887.0
GF-12L30M	0.549034988891666	0.1133222044490487	0.1333333333333333	233.68094929059347	10000.0	9909.0
PPI-RAW	0.5440901577059866	0.1086912696364735	0.2	28125.47015404701	10000.0	9804.0
SCGPT-HUMAN	0.5402680932566805	0.107919610307733	0.1	335.1101683775584	10000.0	9780.0
SCGPT-PANCANCER	0.5367379055075799	0.1091107999143174	0.2666666666666666	270.03587516148883	10000.0	9780.0
GF-12L95MCANCER	0.5345540047308259	0.1101348330052189	0.3	129.50748904546103	10000.0	9887.0
FROGS-ARCHS4	0.5312862647506894	0.1087217703232241	0.1	134.94021383921304	10000.0	7707.0
HMMER	0.527194900736041	0.1093198037201554	0.4666666666666667	37646.20885078112	10000.0	9849.0
GENE2VEC	0.5172572766426071	0.0986774173685222	0.2	128.5627289613088	10000.0	9122.0
GF-12L95M	0.5130861633211624	0.1079393851178113	0.2666666666666666	160.71492552757263	10000.0	9887.0
TCGA-EMBEDDING	0.5119231627894658	0.0980067438944764	0.2333333333333333	58.05233081181844	10000.0	9748.0
PFAM	0.5043166414494756	0.0975098426098595	0.4666666666666666	5307.017473141353	10000.0	9849.0
BLAST	0.5027028266699607	0.094616742493018	0.1999999999999999	31749.35835154851	10000.0	9849.0
MASHUP	0.5026646227342245	0.0979366190791209	0.1666666666666666	615.6059052944183	10000.0	8203.0
