embedding	outer_AUC_average	outer_AUC_fold_0	outer_AUC_fold_1	outer_AUC_fold_2
ESM2	0.821863791519945	0.8153170776172463	0.8365301939557168	0.8137441029868719
ESMB1	0.8185332329036153	0.8049711499020098	0.8661655027273307	0.7844630460815056
ALBERT	0.8032885696356402	0.8088852832596508	0.81973300059094	0.7812474250563298
GENEPT-MODEL3	0.7973400780516431	0.7877894353037692	0.8195682403829467	0.7846625584682133
T5	0.7949716712292388	0.8053178979991796	0.8011010375499498	0.7784960781385871
PFAM	0.7910284793015889	0.7947238503258738	0.849993519431819	0.7283680681470738
XLNET	0.7835242525081346	0.7916222596964587	0.7963313393686827	0.7626191584592624
BERT-BFD	0.779881979716614	0.7548020600701882	0.8138640223019417	0.7709798567777119
HMMER	0.7691896963651841	0.8116268173738663	0.8203230618158333	0.6756192099058527
SEQVEC	0.7675910714835585	0.7461216899867827	0.804794741732882	0.7518567827310109
GENEPT-ADA	0.7433281004350117	0.7617720249760722	0.7640598672691764	0.7041524090597864
BIOCONCEPTVEC-GLOVE	0.7426298593928166	0.7502221411968462	0.790486965270745	0.6871804717108585
KSEP	0.740190791445166	0.739023380885101	0.773039518285088	0.7085094751653088
BIOCONCEPTVEC-FASTTEXT	0.7365091216882136	0.7267741670844539	0.7659315432319803	0.7168216547482066
BIOCONCEPTVEC-CBOW	0.7363844365304265	0.7215612779727449	0.796341005300885	0.6912510263176497
BERT-PFAM	0.7333599071872726	0.7502104735426827	0.7254163490455992	0.724452898973536
UNIREP	0.7214150347633076	0.7172810719657263	0.7146590452255787	0.7323049870986174
BIOCONCEPTVEC-SKIP-GRAM	0.7210211149896028	0.7049895629187366	0.7389591987820925	0.7191145832679794
MASHUP	0.7069155438873898	0.7494641082904152	0.6767690303532239	0.6945134930185304
NODE2VEC	0.7055785371492677	0.683544414566337	0.6994971518452046	0.7336940450362615
MUT2VEC	0.6712801670997376	0.6333184449204685	0.7539607255600198	0.6265613308187244
LEARNED-VEC	0.6681848545864971	0.6518864226790028	0.701606521868073	0.6510616192124155
PPI-RAW	0.6649474660197782	0.6563150266624128	0.7242195308947359	0.6143078405021856
PROTVEC	0.6588139739124668	0.6616030262977987	0.7119793852027759	0.6028595102368257
APAAC	0.6562313915142729	0.6300347295018458	0.7041293301728664	0.6345301148681064
AAC	0.6444934418965169	0.5955703021740122	0.6938610346501701	0.6440489888653684
BLAST	0.6273804572917158	0.6316612734150676	0.6650877512867772	0.5853923471733027
CPC-PROT	0.616599595680175	0.6191721434756848	0.6637617611328471	0.5668648824319932
SCGPT-HUMAN	0.6141151899653866	0.5871010437081263	0.6461227529453633	0.6091217732426703
SCGPT-PANCANCER	0.5817834770077795	0.5764149309511872	0.6008492839521361	0.5680862161200153
GF-12L30M	0.5798059821125799	0.628939428467253	0.5365022945604967	0.57397622330999
GENE2VEC	0.539431717671595	0.5679055649241146	0.4800589621864339	0.5703306259042366
GF-12L95M	0.5375871020868922	0.5796443188551114	0.5335388076193908	0.4995781797861746
GF-20L95M	0.5366003806534566	0.5028361514971971	0.5802481069052102	0.5267168835579625
GF-6L30M	0.5362544559665366	0.5298737523358097	0.5184990564732089	0.5603905590905917
FROGS-ARCHS4	0.5282900750113774	0.5119941661729184	0.5746484566362117	0.4982276022250023
GF-12L95MCANCER	0.5081872275497304	0.4702709994986555	0.5591732991803728	0.4951173839701627
TCGA-EMBEDDING	0.4805855358997169	0.4646544824757304	0.4975529813908838	0.4795491438325368
