embedding	outer_AUC	outer_AUPRC	outer_PR@10	outer_time	orig_pos_pairs	filtered_pos_pairs
ESM2	0.8371005419585925	0.3800318632096472	0.6	135.49199136098227	10000.0	9844.0
T5	0.8181008679788068	0.360399171012006	0.5	138.19278001785278	10000.0	9449.0
ESMB1	0.8121245695560825	0.3618831210388432	0.6666666666666666	136.80062929789224	10000.0	9449.0
PFAM	0.8073820222148201	0.3541614645810297	0.5333333333333333	1707.1949344476063	10000.0	9849.0
BERT-BFD	0.8052344227153556	0.3525565145913156	0.3999999999999999	116.9252732594808	10000.0	9449.0
GENEPT-MODEL3	0.8023757796250681	0.3263844279279072	0.4333333333333333	326.33916783332825	10000.0	9772.0
ALBERT	0.7833929185034706	0.3499787836399736	0.4666666666666666	354.87877130508423	10000.0	9449.0
SEQVEC	0.7809306691721095	0.3364711681634387	0.5333333333333333	128.94331256548563	10000.0	9849.0
XLNET	0.7624572750337831	0.2879557319212407	0.4666666666666666	92.34727096557616	10000.0	9449.0
UNIREP	0.7617550253387484	0.2947797168360117	0.4666666666666667	854.9096391201019	10000.0	9849.0
GENEPT-ADA	0.7508644257029401	0.2777404096119506	0.6666666666666666	123.30502430597942	10000.0	9772.0
KSEP	0.7498289353452634	0.2732192951515824	0.3666666666666667	104.53245782852171	10000.0	9811.0
HMMER	0.742990132332773	0.3138005157946108	0.4333333333333334	4520.809050242106	10000.0	9849.0
BERT-PFAM	0.7371960864397086	0.2248225888209073	0.3	109.12800057729083	10000.0	9449.0
BIOCONCEPTVEC-FASTTEXT	0.7342988916815871	0.2379727903278627	0.5666666666666667	18.067347208658852	10000.0	9202.0
BIOCONCEPTVEC-SKIP-GRAM	0.7239153060246561	0.2307597019100228	0.4666666666666667	20.862269083658852	10000.0	9202.0
BIOCONCEPTVEC-CBOW	0.713747543844606	0.2129522053339808	0.3666666666666666	27.704838911692303	10000.0	9202.0
MASHUP	0.7113390465510886	0.233963333811573	0.5333333333333333	89.70631869633992	10000.0	8203.0
BIOCONCEPTVEC-GLOVE	0.7097302019164148	0.2303540915992581	0.6	26.72575664520264	10000.0	9202.0
NODE2VEC	0.6983915475196191	0.1841797440742114	0.2	16.004928429921467	10000.0	9804.0
MUT2VEC	0.6909489543555377	0.2158527791246423	0.6333333333333333	48.72874840100607	10000.0	8973.0
AAC	0.6675848156808794	0.1699698758143951	0.2	22.787088473637898	10000.0	9849.0
APAAC	0.6667579712116737	0.1729374614353812	0.1333333333333333	37.57540210088094	10000.0	9844.0
LEARNED-VEC	0.6652062574346408	0.1811099739145586	0.4666666666666666	19.75618640581767	10000.0	9849.0
BLAST	0.662023590122227	0.2645239270948745	0.4666666666666667	7828.615505456924	10000.0	9849.0
SCGPT-HUMAN	0.6491443037666281	0.1823810566193417	0.6333333333333333	138.41006326675415	10000.0	9780.0
PROTVEC	0.6390261254606745	0.1684993071685076	0.2333333333333333	43.20167835553488	10000.0	9849.0
PPI-RAW	0.6376346258802855	0.1647207121313343	0.1666666666666666	7464.414510250092	10000.0	9804.0
CPC-PROT	0.6336425895828328	0.1548970353901515	0.4333333333333333	100.16088875134784	10000.0	9449.0
SCGPT-PANCANCER	0.5954297230901294	0.1446488803772989	0.4666666666666666	127.53453667958576	10000.0	9780.0
GF-6L30M	0.5778537031721146	0.1285376781231138	0.3	57.15420881907145	10000.0	9909.0
GF-12L95MCANCER	0.5679148781343786	0.1181087148013678	0.2666666666666666	125.00389989217122	10000.0	9887.0
GF-20L95M	0.5635853536745628	0.1177379326994817	0.1999999999999999	228.7562519709269	10000.0	9887.0
GENE2VEC	0.5573297521030793	0.113606735878636	0.0333333333333333	59.91899450620016	10000.0	9122.0
GF-12L95M	0.5564228485674303	0.1173998645897118	0.1	104.35200262069702	10000.0	9887.0
GF-12L30M	0.5561598034240637	0.1263373595556661	0.4666666666666667	120.87645173072816	10000.0	9909.0
FROGS-ARCHS4	0.5311595672744899	0.1109471698624425	0.1	48.078034241994224	10000.0	7707.0
TCGA-EMBEDDING	0.4816222813344317	0.0892097338474411	0.0666666666666666	18.008378982543945	10000.0	9748.0
