	positive regulation of cell migration	protein maturation	positive regulation of DNA-templated transcription	G protein-coupled receptor signaling pathway	positive regulation of MAPK cascade	positive regulation of gene expression	positive regulation of canonical NF-kappaB signal transduction	positive regulation of transcription by RNA polymerase II	apoptotic signaling pathway	adenylate cyclase-activating G protein-coupled receptor signaling pathway	DNA damage response	negative regulation of apoptotic process	cellular response to oxidative stress	positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction	negative regulation of canonical NF-kappaB signal transduction	negative regulation of transcription by RNA polymerase II	innate immune response	positive regulation of apoptotic process	intracellular signal transduction
MASHUP	0.734375	0.9673469387755101	0.736764705882353	0.8462222222222222	0.8319444444444444	0.6703125	0.7975308641975308	0.82464	0.6619999999999999	0.9722222222222222	0.8048611111111111	0.7734567901234568	0.5472222222222223	0.8887573964497041	0.8198347107438017	0.6911157024793388	0.903	0.5978395061728395	0.6973061224489796
GENEPT-MODEL3	0.7703125	0.9020408163265307	0.6732698961937716	0.8822222222222222	0.8034722222222221	0.7137152777777778	0.8382716049382716	0.7705599999999999	0.897	0.975	0.6194444444444445	0.6848765432098766	0.6770833333333333	0.7846153846153846	0.6892561983471075	0.7681818181818182	0.8600000000000001	0.6524691358024691	0.7480816326530613
NODE2VEC	0.603125	0.8428571428571429	0.6396193771626297	0.8404444444444444	0.8340277777777778	0.559375	0.6691358024691357	0.74736	0.728	0.9333333333333333	0.6402777777777778	0.7098765432098766	0.6972222222222222	0.8106508875739644	0.7380165289256199	0.6020661157024794	0.649	0.5413580246913581	0.5815510204081633
GENEPT-ADA	0.57734375	0.8938775510204082	0.7296712802768166	0.8657777777777778	0.7347222222222223	0.6840277777777777	0.762962962962963	0.75952	0.734	0.9888888888888889	0.49583333333333335	0.5475308641975308	0.5576388888888888	0.8189349112426035	0.6396694214876033	0.5956611570247934	0.749	0.4475308641975309	0.7527346938775511
PPI-RAW	0.5835937499999999	0.8591836734693878	0.6139273356401383	0.7675555555555557	0.7791666666666667	0.6020833333333333	0.7234567901234568	0.6540800000000001	0.85	0.8944444444444444	0.6541666666666667	0.6518518518518519	0.4909722222222222	0.7745562130177515	0.5553719008264463	0.6165289256198347	0.698	0.5716049382716049	0.621061224489796
BIOCONCEPTVEC-FASTTEXT	0.6429687500000001	0.6448979591836734	0.63719723183391	0.8128888888888889	0.7284722222222222	0.6362847222222222	0.7604938271604939	0.67552	0.6859999999999999	0.9222222222222223	0.5819444444444445	0.6132716049382716	0.5145833333333334	0.8183431952662722	0.7305785123966941	0.556198347107438	0.728	0.5941358024691359	0.552734693877551
BIOCONCEPTVEC-SKIP-GRAM	0.64140625	0.6346938775510204	0.6201557093425605	0.8084444444444445	0.7402777777777778	0.6192708333333333	0.7876543209876543	0.65728	0.655	0.913888888888889	0.6041666666666667	0.5867283950617284	0.5625	0.7816568047337278	0.7611570247933884	0.5398760330578513	0.712	0.6361111111111111	0.5493877551020409
BIOCONCEPTVEC-CBOW	0.6109375	0.6408163265306123	0.6020761245674741	0.7555555555555555	0.7493055555555556	0.6128472222222222	0.7148148148148148	0.6737600000000001	0.638	0.9388888888888889	0.5569444444444445	0.5598765432098766	0.49583333333333335	0.7952662721893491	0.7661157024793388	0.59400826446281	0.6910000000000001	0.6114197530864198	0.5666122448979591
ESMB1	0.627734375	0.7224489795918367	0.5643598615916955	0.7475555555555555	0.84375	0.4725694444444444	0.6296296296296295	0.56976	0.8069999999999999	0.8583333333333334	0.5638888888888889	0.5577160493827161	0.5854166666666667	0.6260355029585799	0.5834710743801652	0.55	0.803	0.5135802469135802	0.5848163265306122
BIOCONCEPTVEC-GLOVE	0.505859375	0.46734693877551015	0.5759515570934256	0.6471111111111111	0.7430555555555555	0.6529513888888889	0.7419753086419754	0.63264	0.623	0.8388888888888889	0.5159722222222222	0.5182098765432098	0.44027777777777777	0.7881656804733728	0.7900826446280992	0.5923553719008263	0.69	0.6783950617283951	0.6123265306122448
