	positive regulation of cell migration	protein maturation	positive regulation of DNA-templated transcription	G protein-coupled receptor signaling pathway	positive regulation of MAPK cascade	positive regulation of gene expression	positive regulation of canonical NF-kappaB signal transduction	positive regulation of transcription by RNA polymerase II	apoptotic signaling pathway	adenylate cyclase-activating G protein-coupled receptor signaling pathway	DNA damage response	negative regulation of apoptotic process	cellular response to oxidative stress	positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction	negative regulation of canonical NF-kappaB signal transduction	negative regulation of transcription by RNA polymerase II	innate immune response	positive regulation of apoptotic process	intracellular signal transduction
GENEPT-MODEL3	0.937890625	0.9551020408163264	0.8956747404844291	0.9359999999999999	0.9388888888888889	0.8310763888888889	0.8987654320987654	0.9128000000000001	0.7800000000000001	0.9972222222222221	0.94375	0.6679012345679012	0.8361111111111111	0.8775147928994083	0.7239669421487605	0.862190082644628	0.795	0.8330246913580247	0.8017142857142857
BIOCONCEPTVEC-FASTTEXT	0.87578125	0.926530612244898	0.8817474048442906	0.9377777777777778	0.9083333333333333	0.6736111111111112	0.8864197530864197	0.88352	0.8510000000000001	0.9805555555555556	0.9270833333333334	0.7697530864197532	0.8618055555555555	0.8254437869822485	0.6884297520661158	0.8198347107438017	0.709	0.7987654320987655	0.6639999999999999
BIOCONCEPTVEC-SKIP-GRAM	0.865625	0.9591836734693877	0.8735294117647059	0.9213333333333333	0.9118055555555555	0.7130208333333333	0.8691358024691358	0.87296	0.851	0.986111111111111	0.9152777777777777	0.7796296296296297	0.8368055555555556	0.8301775147928995	0.6768595041322314	0.8080578512396694	0.663	0.8043209876543209	0.6635102040816326
MASHUP	0.852734375	0.9755102040816326	0.8839100346020761	0.9368888888888889	0.9118055555555555	0.8107638888888888	0.8691358024691358	0.85984	0.744	0.9777777777777777	0.9166666666666667	0.7391975308641975	0.7131944444444445	0.7792899408284023	0.71900826446281	0.8450413223140496	0.748	0.682716049382716	0.7281632653061224
BIOCONCEPTVEC-CBOW	0.9070312500000001	0.9061224489795918	0.8815743944636678	0.9568888888888889	0.8659722222222223	0.6696180555555555	0.8469135802469135	0.89712	0.8200000000000001	0.9666666666666667	0.9361111111111111	0.7935185185185185	0.81875	0.7704142011834321	0.6239669421487604	0.8070247933884297	0.6789999999999999	0.7574074074074073	0.7548571428571429
GENEPT-ADA	0.880078125	0.9224489795918368	0.8676470588235294	0.9466666666666665	0.8645833333333333	0.7352430555555556	0.825925925925926	0.92608	0.795	0.9944444444444445	0.8180555555555555	0.662962962962963	0.7472222222222222	0.7828402366863906	0.534710743801653	0.8138429752066115	0.6900000000000001	0.7787037037037037	0.7226938775510204
NODE2VEC	0.877734375	0.9612244897959183	0.8316608996539792	0.8942222222222223	0.8340277777777778	0.8052083333333332	0.7851851851851852	0.83392	0.795	0.9722222222222222	0.7270833333333333	0.7441358024691358	0.6861111111111111	0.7680473372781065	0.7264462809917356	0.7588842975206612	0.685	0.7095679012345679	0.7457959183673468
T5	0.766796875	0.8306122448979592	0.8144463667820068	0.9373333333333334	0.8763888888888889	0.6854166666666667	0.7086419753086419	0.9403199999999999	0.679	0.9972222222222221	0.8458333333333333	0.532716049382716	0.7277777777777779	0.7094674556213019	0.6049586776859504	0.8456611570247934	0.7090000000000001	0.7228395061728395	0.7659591836734694
ESMB1	0.737109375	0.8530612244897959	0.8435986159169551	0.9564444444444444	0.8923611111111112	0.6366319444444444	0.7592592592592593	0.912	0.646	1.0	0.8180555555555555	0.6527777777777778	0.7041666666666666	0.642603550295858	0.5727272727272728	0.8353305785123967	0.736	0.7564814814814815	0.7188571428571429
XLNET	0.7523437500000001	0.8346938775510203	0.8337370242214533	0.9475555555555555	0.8826388888888889	0.6460069444444444	0.7456790123456789	0.93248	0.652	0.9916666666666666	0.7979166666666666	0.611111111111111	0.7361111111111112	0.7017751479289941	0.640495867768595	0.7989669421487604	0.775	0.695679012345679	0.6761632653061225
