	connective tissue disease	lower respiratory tract disease	autoimmune disease	primary immunodeficiency disease	autosomal genetic disease	autosomal dominant disease	organ system cancer	cell type cancer	kidney disease	carcinoma	skin disease	brain disease	heart disease	intrinsic cardiomyopathy	cardiomyopathy	autosomal recessive disease	X-linked dominant disease	X-linked monogenic disease	bone disease	bone remodeling disease	congenital nervous system abnormality	bone marrow disease	hematologic cancer	dysostosis	bone development disease	osteochondrodysplasia	X-linked recessive disease	motor neuron disease	neurodegenerative disease	neuromuscular disease	Charcot-Marie-Tooth disease type 2	Charcot-Marie-Tooth disease	neuropathy	anemia	aplastic anemia	myopathy	muscular disease	muscular dystrophy	muscle tissue disease	cerebellar disease	eye degenerative disease	macular degeneration	retinal degeneration	eye disease	retinal disease	tooth disease	mouth disease	spinal disease	artery disease	vascular disease	developmental disorder of mental health	syndromic X-linked intellectual disability	intellectual disability	specific developmental disorder	syndromic intellectual disability	heart conduction disease	cerebellar ataxia	hereditary ataxia	autosomal recessive cerebellar ataxia	gonadal disease	disorder of sexual development	autosomal dominant cerebellar ataxia	paraplegia	hereditary spastic paraplegia	digenic disease	severe combined immunodeficiency	combined immunodeficiency	B cell deficiency	agammaglobulinemia	congenital myopathy	blood coagulation disease	ciliopathy	Joubert syndrome	epilepsy	nonsyndromic deafness	autosomal dominant nonsyndromic deafness	auditory system disease	leukodystrophy	cerebral degeneration	developmental and epileptic encephalopathy	electroclinical syndrome	autosomal dominant intellectual developmental disorder	spermatogenic failure	male reproductive system disease	male infertility	congenital disorder of glycosylation	lens disease	cataract	autosomal recessive intellectual developmental disorder	non-syndromic X-linked intellectual disability	non-syndromic intellectual disability	autosomal recessive nonsyndromic deafness	primary ciliary dyskinesia	retinitis pigmentosa	intestinal disease	gastrointestinal system cancer	female reproductive system disease	ovarian disease	dilated cardiomyopathy	congenital hypoplastic anemia	colorectal cancer	intestinal cancer	large intestine cancer
GENEPT-MODEL3	0.8404974123059229	0.9413793103448276	0.9161585365853658	0.9846938775510203	0.7089905960867586	0.7016666666666667	0.9275976418570375	0.7172413793103448	0.8949483352468428	0.988095238095238	0.8412828947368421	0.8455303030303031	0.9625668449197862	0.989622641509434	1.0	0.7220467836257309	0.674731182795699	0.8348896434634974	0.8705160842397593	0.9142857142857144	0.8444444444444444	0.928	0.9510204081632654	0.7473958333333333	0.8778409090909091	0.8025956284153006	0.7814327485380117	0.6388888888888888	0.7736507936507936	0.9337278106508875	0.7708333333333333	0.9758522727272727	0.813615333773959	0.9590000000000001	0.9731182795698925	0.9103422619047619	0.9056353003721425	0.9613899613899615	0.9745538664904164	0.9604938271604937	0.8737769080234834	0.75	0.8546966731898239	0.9396468699839486	0.9279609279609279	0.96875	0.9821428571428572	0.7916666666666667	0.828125	0.7296874999999999	0.8772777777777778	0.6944444444444444	0.9007936507936508	0.8810460541541311	0.8353658536585367	0.9782608695652174	0.934659090909091	0.8568627450980393	0.9166666666666667	0.8875192604006163	0.7727272727272727	0.6302083333333334	0.9433139534883721	0.8531976744186046	0.7903225806451613	0.9874999999999999	0.9421875	0.9520000000000001	1.0	0.8538461538461539	0.9454887218045113	0.9888888888888889	1.0	0.906047077922078	0.9076923076923077	0.7611111111111111	0.8008547008547009	0.7296296296296296	0.6793103448275862	0.9636752136752137	0.9054779806659505	0.8647260273972602	0.9830827067669173	0.8759615384615385	0.9625	0.996551724137931	1.0	1.0	0.9400684931506849	0.875	0.99375	0.8560250391236306	0.992	0.8743961352657004	0.8333333333333334	0.9906015037593985	0.8280000000000001	0.81875	1.0	0.9851851851851852	1.0	0.9523809523809523	0.8333333333333333
BIOCONCEPTVEC-FASTTEXT	0.7625071880391029	0.8896551724137931	0.9390243902439024	0.9931122448979591	0.6498938267859851	0.6643859649122807	0.915806927044952	0.8620689655172413	0.9684270952927669	0.8452380952380952	0.8377192982456141	0.8669191919191919	0.8686497326203209	0.9584905660377359	0.999056603773585	0.6844444444444444	0.6317204301075269	0.8595076400679117	0.8301319139088175	0.9892857142857142	0.9305555555555556	0.964	0.9122448979591837	0.7630208333333333	0.8863636363636364	0.8428961748633881	0.7748538011695907	0.6616161616161615	0.823015873015873	0.8988165680473373	0.8020833333333334	0.9446022727272727	0.8671513549239921	0.927	0.8844086021505375	0.953125	0.9319510898458268	0.9903474903474904	0.9890945142101785	0.9481481481481482	0.9892367906066537	0.90625	0.8987279843444227	0.891653290529695	0.9181929181929182	0.76875	0.9940476190476191	0.7083333333333334	0.953125	0.80625	0.8778888888888889	0.76010101010101	0.8835565476190477	0.8429761629252488	0.7179878048780488	0.9836956521739131	0.919034090909091	0.8480392156862745	0.9702380952380952	0.8682588597842835	0.9204545454545454	0.6666666666666667	0.8764534883720929	0.9040697674418605	0.6263440860215054	0.975	0.9031250000000001	0.832	0.79375	0.8538461538461538	0.9887218045112782	0.9746031746031747	1.0	0.8545048701298701	0.8965811965811966	0.6222222222222222	0.8683760683760684	0.9296296296296297	0.8344827586206897	0.9196581196581196	0.8504296455424274	0.8955479452054794	0.9962406015037595	0.8451923076923077	0.9921875	0.9275862068965517	0.9192708333333333	1.0	0.952054794520548	0.96875	1.0	0.8841940532081377	1.0	0.967391304347826	0.7757936507936507	0.9849624060150377	0.9079999999999999	0.90625	0.8862068965517241	0.9851851851851853	0.9285714285714286	1.0	0.7023809523809523
BIOCONCEPTVEC-CBOW	0.7655980448533641	0.9655172413793103	0.9359756097560976	0.9857142857142857	0.6514485059912027	0.7176315789473685	0.9299926308032425	0.8482758620689655	0.9799081515499426	0.8452380952380953	0.8275767543859649	0.8194444444444445	0.8409090909090909	0.9566037735849058	0.9849056603773585	0.6654970760233918	0.8413978494623655	0.8068760611205433	0.8619532515621384	0.8928571428571429	0.8638888888888889	0.9159999999999999	0.8959183673469389	0.6614583333333334	0.8717532467532467	0.9262295081967213	0.7353801169590644	0.5833333333333333	0.8261904761904761	0.9295857988165681	0.703125	0.8920454545454546	0.8760740251156642	0.964	0.9381720430107527	0.9259672619047619	0.9574694311536417	0.9884169884169884	0.9702577660277594	0.8839506172839506	0.9608610567514677	0.8937499999999999	0.8899217221135031	0.8356340288924559	0.9648962148962149	0.8187500000000001	0.9523809523809523	0.6964285714285714	0.9583333333333334	0.8	0.8238888888888888	0.6994949494949495	0.8846726190476191	0.8191390881740338	0.7591463414634146	0.9945652173913043	0.8764204545454546	0.8117647058823529	0.9761904761904762	0.8143297380585517	0.9261363636363635	0.734375	0.877906976744186	0.8909883720930232	0.5591397849462366	0.96875	0.8921875	0.832	0.75	0.926923076923077	0.9849624060150376	0.9603174603174602	1.0	0.8760146103896105	0.7688034188034187	0.6083333333333334	0.8038461538461539	0.9111111111111111	0.8965517241379309	0.9572649572649573	0.8582169709989259	0.934931506849315	0.9830827067669173	0.7913461538461539	0.95	0.9620689655172414	0.9244791666666667	0.978494623655914	0.9537671232876712	0.96875	1.0	0.7777777777777777	0.984	0.9722222222222222	0.8353174603174602	0.9266917293233083	0.936	0.7937500000000001	0.9379310344827587	0.9703703703703703	0.9702380952380952	1.0	0.761904761904762
BIOCONCEPTVEC-SKIP-GRAM	0.7285796434732604	0.9655172413793104	0.9253048780487805	0.9894132653061224	0.6494767177309269	0.6764035087719299	0.9150700073691969	0.8517241379310344	0.9810562571756603	0.880952380952381	0.8379934210526315	0.8632323232323232	0.8880347593582887	0.9481132075471698	1.0	0.6636842105263158	0.7016129032258064	0.7877758913412564	0.7979634343901875	0.9714285714285715	0.8916666666666667	0.964	0.9061224489795918	0.7552083333333333	0.8583603896103895	0.8121584699453551	0.7894736842105262	0.654040404040404	0.8404761904761904	0.8840236686390532	0.8020833333333333	0.8991477272727273	0.7997356245869134	0.907	0.9059139784946237	0.9587053571428571	0.9098883572567783	0.9768339768339768	0.9378717779246529	0.9395061728395061	0.966242661448141	0.80625	0.8923679060665363	0.8384430176565009	0.9395604395604394	0.80625	0.988095238095238	0.8214285714285715	0.96875	0.775	0.8564444444444445	0.6388888888888888	0.8514384920634921	0.8089562601249711	0.7210365853658536	0.9891304347826088	0.8792613636363636	0.8607843137254901	0.8690476190476191	0.8343605546995378	0.9488636363636364	0.6822916666666666	0.8822674418604651	0.8386627906976745	0.6774193548387096	0.9874999999999999	0.9125000000000001	0.836	0.80625	0.8346153846153846	0.9849624060150376	0.9650793650793651	0.99375	0.9030032467532467	0.841025641025641	0.6611111111111111	0.8670940170940171	0.8703703703703703	0.7896551724137932	0.9243589743589744	0.8638560687432868	0.9058219178082192	0.9680451127819549	0.8663461538461539	0.9765625	0.9448275862068967	0.9322916666666666	0.9516129032258065	0.9743150684931506	0.9375	1.0	0.8794992175273865	0.98	0.9516908212560387	0.7797619047619048	0.9849624060150376	0.8	0.86875	0.9206896551724137	0.9925925925925926	0.9226190476190477	0.9702380952380952	0.7797619047619048
GENEPT-ADA	0.8030477285796435	0.8448275862068967	0.9009146341463414	0.9674744897959183	0.6559987865918399	0.6791228070175438	0.8638540899042004	0.7482758620689656	0.8547646383467279	0.8928571428571429	0.8190789473684211	0.7396212121212121	0.8679812834224598	0.9660377358490566	0.9877358490566038	0.6526900584795321	0.5456989247311828	0.7359932088285229	0.8197176579495487	0.8178571428571428	0.6472222222222221	0.808	0.8938775510204082	0.65625	0.8084415584415584	0.8688524590163934	0.6834795321637427	0.5404040404040404	0.7738095238095238	0.8088757396449704	0.71875	0.9517045454545455	0.7987442167878388	0.891	0.8440860215053764	0.8017113095238095	0.8596491228070176	0.8764478764478765	0.9140779907468606	0.8592592592592593	0.8820939334637965	0.675	0.8297455968688845	0.9203852327447832	0.8989621489621489	0.9500000000000001	1.0	0.8095238095238095	0.7916666666666666	0.53125	0.8239444444444445	0.7878787878787878	0.8509424603174602	0.8562832677620922	0.8521341463414634	0.9565217391304348	0.8991477272727273	0.8156862745098039	0.6607142857142857	0.9060092449922958	0.7897727272727272	0.8229166666666667	0.8444767441860466	0.8372093023255814	0.6424731182795699	0.8500000000000001	0.7859375000000001	0.9680000000000001	0.9625	0.7230769230769232	0.8966165413533835	0.9793650793650793	1.0	0.7932224025974026	0.9235042735042734	0.711111111111111	0.7188034188034188	0.7259259259259259	0.5310344827586208	0.9487179487179488	0.8431793770139635	0.7910958904109588	0.9097744360902256	0.7557692307692307	0.9328125	0.9827586206896551	0.9973958333333334	0.9381720430107527	0.8321917808219178	0.8	0.8937499999999999	0.7433489827856026	0.984	0.9045893719806762	0.6845238095238095	0.9454887218045113	0.732	0.8500000000000001	0.8551724137931034	0.9703703703703703	1.0	0.9821428571428572	0.7261904761904762
MUT2VEC	0.6786946520989074	0.8689655172413793	0.9679878048780487	0.957780612244898	0.6513726679811922	0.6342105263157894	0.9110169491525424	0.8517241379310345	0.8530424799081515	0.8095238095238095	0.6946271929824561	0.75989898989899	0.8459224598930482	0.9037735849056604	0.8716981132075472	0.6538011695906432	0.8225806451612903	0.7971137521222411	0.8072205507984263	0.7928571428571429	0.8222222222222222	1.0	0.9510204081632653	0.796875	0.7686688311688311	0.7841530054644809	0.7807017543859649	0.4949494949494949	0.7836507936507937	0.8248520710059172	0.8385416666666666	0.875	0.73694646397885	0.917	0.8413978494623655	0.8058035714285714	0.8442317916002127	0.9613899613899615	0.9448116325181758	0.8024691358024691	0.913894324853229	0.81875	0.8620352250489236	0.8138844301765651	0.8452380952380952	0.8375	0.9107142857142856	0.6309523809523809	0.8072916666666667	0.7	0.7677777777777778	0.7575757575757576	0.7993551587301587	0.7123351076139782	0.7423780487804879	0.9293478260869565	0.7329545454545454	0.7019607843137254	0.7738095238095237	0.7765793528505394	0.7840909090909091	0.7239583333333334	0.9186046511627907	0.7456395348837209	0.7634408602150538	0.9125000000000001	0.8125	0.9159999999999999	0.9750000000000001	0.773076923076923	0.9849624060150376	0.8714285714285714	1.0	0.7934253246753247	0.77008547008547	0.5361111111111111	0.638034188034188	0.8	0.6965517241379311	0.847008547008547	0.8316326530612246	0.9315068493150684	0.825187969924812	0.7461538461538462	0.7015625	0.8655172413793104	0.9765625	0.7983870967741935	0.8150684931506849	0.85	0.6125	0.8482003129890454	0.868	0.9444444444444444	0.7976190476190477	0.9210526315789473	0.644	0.575	0.9620689655172413	0.9925925925925927	0.7738095238095238	1.0	0.6964285714285714
MASHUP	0.6968803910293272	0.6241379310344828	0.7271341463414634	0.9345663265306123	0.6762475352646746	0.6509649122807019	0.8034266764922623	0.9137931034482758	0.8645235361653273	0.6845238095238095	0.6206140350877193	0.681439393939394	0.81951871657754	0.8830188679245283	0.9330188679245284	0.6532748538011696	0.9596774193548387	0.9698641765704584	0.6935894468872946	0.6785714285714286	0.8194444444444444	0.92	0.8653061224489796	0.8333333333333334	0.8327922077922078	0.7903005464480874	0.9926900584795322	0.41666666666666663	0.7457142857142857	0.6994082840236686	0.84375	0.7485795454545455	0.8575677461996034	0.8170000000000001	0.9569892473118279	0.8005952380952381	0.7796384901648059	0.9131274131274132	0.8324520819563781	0.6814814814814815	0.8248532289628181	0.65	0.7328767123287672	0.7570626003210272	0.7793040293040293	0.78125	0.8333333333333333	0.6130952380952381	0.75	0.69375	0.8347777777777778	1.0	0.8327132936507936	0.8544318444804443	0.9634146341463414	0.6684782608695652	0.7400568181818181	0.5980392156862745	0.8869047619047619	0.763482280431433	0.5113636363636364	0.9166666666666666	0.8488372093023255	0.7921511627906976	0.6317204301075269	0.9375	0.8203125	0.8280000000000001	0.8937499999999999	0.7153846153846154	0.9473684210526316	0.7746031746031746	0.9750000000000001	0.7615665584415585	0.735897435897436	0.5111111111111111	0.6273504273504273	0.7296296296296296	0.6206896551724138	0.888034188034188	0.6979054779806659	0.9571917808219177	0.7406015037593985	0.6769230769230768	0.775	1.0	0.7942708333333333	0.9301075268817204	0.7363013698630136	1.0	0.99375	0.5837245696400626	0.988	0.8019323671497584	0.6170634920634921	0.7387218045112782	0.7200000000000001	0.8375	0.903448275862069	0.962962962962963	0.8035714285714286	0.8571428571428571	0.5476190476190476
SCGPT-HUMAN	0.7055779183438758	0.7379310344827587	0.8475609756097561	0.8838010204081633	0.5842560291217959	0.6373684210526316	0.6403831982313928	0.603448275862069	0.8289322617680827	0.75	0.6795504385964912	0.7540909090909091	0.7269385026737968	0.9037735849056604	0.9037735849056604	0.5964912280701754	0.6397849462365591	0.8085738539898133	0.6577181208053692	0.48928571428571427	0.875	0.616	0.6795918367346938	0.859375	0.7286931818181819	0.7424863387978141	0.7375730994152047	0.4015151515151515	0.7184126984126984	0.8165680473372781	0.7864583333333333	0.8565340909090908	0.6768010575016523	0.854	0.7983870967741935	0.7105654761904762	0.8211057947900052	0.8088803088803088	0.8278255122273628	0.928395061728395	0.8992172211350293	0.8	0.8546966731898239	0.7573033707865169	0.8669108669108669	0.70625	0.9464285714285715	0.6249999999999999	0.8645833333333333	0.6171875	0.7822222222222223	0.6590909090909091	0.8069196428571429	0.722402221707938	0.8490853658536585	0.6358695652173914	0.6193181818181819	0.6794117647058824	0.6547619047619048	0.6687211093990755	0.5568181818181818	0.7395833333333333	0.8953488372093024	0.6308139534883721	0.6559139784946236	0.85625	0.7984374999999999	0.652	0.7500000000000001	0.7038461538461538	0.9304511278195489	0.8904761904761904	0.9874999999999999	0.8096590909090909	0.702991452991453	0.6361111111111111	0.6153846153846154	0.662962962962963	0.8206896551724139	0.8816239316239317	0.8619763694951665	0.9366438356164384	0.8101503759398496	0.7538461538461538	0.8	0.9655172413793104	0.8203125	0.868279569892473	0.8698630136986301	0.875	0.775	0.5774647887323943	0.996	0.782608695652174	0.5317460317460317	0.7180451127819548	0.6120000000000001	0.75	0.8827586206896552	0.8925925925925926	0.5833333333333333	0.7619047619047619	0.2976190476190476
NODE2VEC	0.6539677975848188	0.7103448275862069	0.7408536585365854	0.9201530612244898	0.636963446079175	0.6221052631578947	0.8513264554163595	0.7655172413793103	0.5924225028702641	0.9166666666666667	0.6636513157894737	0.673030303030303	0.7479946524064172	0.780188679245283	0.819811320754717	0.6718713450292397	0.6989247311827957	0.654923599320883	0.7104836843323306	0.5857142857142857	0.8138888888888889	0.9520000000000001	0.7897959183673469	0.796875	0.8311688311688311	0.7739071038251366	0.6264619883040935	0.5050505050505051	0.7247619047619047	0.8029585798816568	0.53125	0.6917613636363636	0.7293456708526108	0.754	0.9193548387096775	0.7284226190476191	0.6759702286018076	0.8938223938223937	0.8146067415730336	0.8382716049382716	0.74853228962818	0.7999999999999999	0.7940313111545988	0.6764044943820224	0.8354700854700854	0.6625000000000001	0.9404761904761906	0.5714285714285715	0.796875	0.784375	0.676111111111111	0.4772727272727273	0.7857142857142857	0.6702152279564915	0.7073170731707317	0.7717391304347826	0.7017045454545455	0.6480392156862745	0.75	0.6956856702619414	0.4090909090909091	0.7864583333333334	0.809593023255814	0.7223837209302325	0.596774193548387	0.8937499999999999	0.8625	0.8280000000000001	0.93125	0.8923076923076924	0.8496240601503761	0.9349206349206348	0.99375	0.6558441558441559	0.6670940170940172	0.5833333333333333	0.6542735042735043	0.8481481481481482	0.6793103448275862	0.8264957264957266	0.7505370569280343	0.8253424657534246	0.7293233082706767	0.7480769230769231	0.7390625000000001	0.9758620689655173	0.6848958333333333	0.7956989247311828	0.6558219178082192	0.6124999999999999	0.7812499999999999	0.5852895148669797	0.768	0.7765700483091786	0.8452380952380952	0.8721804511278195	0.644	0.15625	0.9448275862068966	0.9777777777777777	0.9940476190476191	0.9940476190476191	0.8452380952380952
BIOCONCEPTVEC-GLOVE	0.6897642323174239	0.8793103448275863	0.8628048780487806	0.9261479591836734	0.6073866221750341	0.6857017543859649	0.8697494473102432	0.7931034482758621	0.7824339839265212	0.7559523809523809	0.6274671052631579	0.6664646464646465	0.785427807486631	0.8773584905660378	0.8613207547169812	0.611812865497076	0.6048387096774194	0.7406621392190152	0.6527424207359408	0.7642857142857142	0.6666666666666666	0.928	0.7938775510204081	0.625	0.6639610389610389	0.7042349726775956	0.6769005847953217	0.38383838383838376	0.6079365079365079	0.685207100591716	0.59375	0.5909090909090908	0.6110376734963648	0.73	0.9301075268817205	0.6800595238095238	0.6578947368421052	0.7046332046332047	0.8089887640449439	0.7185185185185186	0.8126223091976518	0.9187500000000001	0.8424657534246576	0.7126003210272873	0.7967032967032968	0.83125	0.7738095238095237	0.47023809523809523	0.7760416666666667	0.8296875	0.7555555555555555	0.5126262626262625	0.7553323412698413	0.6529738486461467	0.6478658536585367	0.8315217391304348	0.7372159090909092	0.6676470588235294	0.8511904761904762	0.7057010785824345	0.7727272727272728	0.671875	0.7514534883720929	0.7209302325581396	0.532258064516129	0.88125	0.7468750000000001	0.772	0.9500000000000001	0.5884615384615384	0.9323308270676691	0.8714285714285713	0.95	0.731737012987013	0.7183760683760684	0.7166666666666667	0.7504273504273504	0.6814814814814816	0.7517241379310344	0.8568376068376068	0.6844790547798066	0.7910958904109588	0.6766917293233082	0.4951923076923077	0.71875	0.9827586206896552	0.7135416666666666	0.7956989247311828	0.7739726027397261	0.6000000000000001	0.85	0.6165884194053208	0.756	0.8864734299516909	0.8055555555555556	0.8421052631578947	0.592	0.49375	0.9103448275862069	0.8962962962962964	0.9464285714285714	0.9464285714285714	0.5297619047619048
